,Rk,Player,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,Matches
433,418,Ryan Porteous,DF,sct Scotland,25-095,1999,1,43.0,43.0,15.9,0.5,1,43.0,0,0,,0,0.0,0.0,2.0,-2.0,-4.19,-3.0,0.0,0.5,-0.5,-1.06,0.12,Matches
434,419,Stefan Posch,DF,at Austria,27-045,1997,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,2.0,6.0,4.0,2.0,0.67,,3.8,5.3,-1.5,-0.51,,Matches
435,420,Yussuf Poulsen,FW,dk Denmark,30-013,1994,3,35.0,12.0,13.0,0.4,0,,0,3,12.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.3,0.2,0.55,0.28,Matches
436,421,Alexander Prass,DF,at Austria,23-033,2001,3,121.0,40.0,44.8,1.3,1,90.0,1,2,16.0,0,2.0,5.0,2.0,3.0,2.23,2.84,2.4,2.1,0.3,0.21,1.3,Matches
437,422,Lukáš Provod,MF,cz Czechia,27-249,1996,3,232.0,77.0,85.9,2.6,3,77.0,0,0,,0,0.33,3.0,3.0,0.0,0.0,4.74,4.5,3.0,1.5,0.58,2.45,Matches
438,423,Tymoteusz Puchacz,"DF,MF",pl Poland,25-157,1999,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
439,424,George Pușcaș,FW,ro Romania,28-081,1996,2,40.0,20.0,14.8,0.4,0,,0,2,20.0,1,2.0,0.0,0.0,0.0,0.0,-0.39,0.0,0.4,-0.4,-0.89,-1.0,Matches
440,425,Leopold Querfeld,DF,at Austria,20-191,2003,1,27.0,27.0,10.0,0.3,0,,0,1,27.0,2,3.0,1.0,1.0,0.0,0.0,-0.74,0.1,0.2,-0.1,-0.24,0.3,Matches
442,426,Adrien Rabiot,MF,fr France,29-086,1995,3,220.0,73.0,81.5,2.4,3,73.0,1,0,,0,1.67,2.0,0.0,2.0,0.82,2.62,5.3,1.4,3.9,1.58,2.56,Matches
443,427,Bogdan Racovitan,DF,ro Romania,24-022,2000,1,4.0,4.0,1.5,0.0,0,,0,1,4.0,2,3.0,0.0,0.0,0.0,0.0,-0.34,0.0,0.1,-0.1,-1.22,-1.2,Matches
444,428,Predrag Rajković,GK,rs Serbia,28-241,1995,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,0.67,1.0,2.0,-1.0,-0.33,,2.1,2.6,-0.5,-0.15,,Matches
445,429,Anthony Ralston,DF,sct Scotland,25-225,1998,3,262.0,87.0,97.0,2.9,3,87.0,2,0,,0,0.33,2.0,6.0,-4.0,-1.37,9.88,0.8,3.6,-2.8,-0.97,6.45,Matches
446,430,Ylber Ramadani,MF,al Albania,28-077,1996,3,264.0,88.0,97.8,2.9,3,88.0,2,0,,0,0.33,2.0,5.0,-3.0,-1.02,-16.02,2.0,5.4,-3.5,-1.18,-4.89,Matches
447,431,Gonçalo Ramos,FW,pt Portugal,23-008,2001,1,25.0,25.0,9.3,0.3,0,,0,1,25.0,2,0.0,0.0,0.0,0.0,0.0,-0.73,1.2,0.1,1.1,4.04,3.38,Matches
448,432,Aaron Ramsdale,GK,eng England,26-045,1998,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
449,433,Giacomo Raspadori,FW,it Italy,24-131,2000,2,83.0,42.0,30.7,0.9,1,74.0,0,1,9.0,1,0.5,0.0,1.0,-1.0,-1.08,-1.57,0.9,1.2,-0.3,-0.31,-0.03,Matches
450,434,Andrei Ratiu,DF,ro Romania,26-008,1998,3,269.0,90.0,99.6,3.0,3,90.0,2,0,,0,1.33,4.0,3.0,1.0,0.33,0.33,3.2,3.3,-0.1,-0.05,-1.56,Matches
451,435,Petar Ratkov,FW,rs Serbia,20-315,2003,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
452,436,David Raum,DF,de Germany,26-067,1998,1,30.0,30.0,11.1,0.3,0,,0,1,30.0,2,1.0,1.0,0.0,1.0,3.0,1.13,0.9,0.1,0.8,2.45,1.55,Matches
453,437,Henrich Ravas,GK,sk Slovakia,26-317,1997,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
454,438,David Raya,GK,es Spain,28-287,1995,1,90.0,90.0,33.3,1.0,1,90.0,1,0,,2,3.0,1.0,0.0,1.0,1.0,-1.0,1.5,0.5,1.0,1.02,0.15,Matches
455,439,Tijjani Reijnders,MF,nl Netherlands,25-335,1998,3,244.0,81.0,90.4,2.7,3,81.0,2,0,,0,1.33,3.0,3.0,0.0,0.0,0.0,3.4,3.5,-0.1,-0.03,-0.27,Matches
456,440,Álex Remiro,GK,es Spain,29-096,1995,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
457,441,Mateo Retegui,FW,it Italy,25-060,1999,3,125.0,42.0,46.3,1.4,1,90.0,1,2,18.0,0,1.33,1.0,1.0,0.0,0.0,0.0,1.0,1.7,-0.6,-0.46,-0.31,Matches
458,442,Declan Rice,MF,eng England,25-166,1999,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,1.67,2.0,1.0,1.0,0.33,,2.2,1.1,1.0,0.34,,Matches
459,443,Fabian Rieder,MF,ch Switzerland,22-133,2002,3,85.0,28.0,31.5,0.9,1,64.0,0,2,11.0,0,1.67,2.0,0.0,2.0,2.12,2.12,1.4,1.0,0.4,0.41,0.36,Matches
460,444,Tomas Rigo,MF,sk Slovakia,21-361,2002,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
461,445,Andrew Robertson,DF,sct Scotland,30-109,1994,3,268.0,89.0,99.3,3.0,3,89.0,2,0,,0,0.33,2.0,6.0,-4.0,-1.34,43.66,0.8,3.6,-2.8,-0.95,28.73,Matches
462,446,Marek Rodák,GK,sk Slovakia,27-198,1996,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
463,447,Rodri,MF,es Spain,28-006,1996,2,175.0,88.0,64.8,1.9,2,88.0,1,0,,0,3.0,4.0,0.0,4.0,2.06,1.11,4.0,2.2,1.7,0.88,-0.12,Matches
464,448,Ricardo Rodríguez,DF,ch Switzerland,31-308,1992,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,1.67,5.0,3.0,2.0,0.67,,4.0,3.6,0.5,0.16,,Matches
465,449,Taras Romanchuk,MF,pl Poland,32-227,1991,1,54.0,54.0,20.0,0.6,1,54.0,0,0,,2,0.0,1.0,1.0,0.0,0.0,1.25,0.2,1.2,-1.0,-1.7,-1.38,Matches
466,450,Cristiano Ronaldo,FW,pt Portugal,39-144,1985,3,245.0,82.0,90.7,2.7,3,82.0,2,0,,0,2.0,5.0,3.0,2.0,0.73,0.73,4.5,2.7,1.8,0.67,-3.38,Matches
468,451,Antonio Rüdiger,DF,de Germany,31-117,1993,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,2.33,8.0,2.0,6.0,2.0,,5.0,1.8,3.2,1.07,,Matches
469,452,Fabián Ruiz Peña,MF,es Spain,28-086,1996,2,179.0,90.0,66.3,2.0,2,90.0,1,0,,1,3.0,4.0,0.0,4.0,2.01,1.02,4.0,2.2,1.8,0.89,-0.09,Matches
470,453,Adrian Rus,MF,ro Romania,28-102,1996,2,21.0,11.0,7.8,0.2,0,,0,2,11.0,1,2.0,0.0,0.0,0.0,0.0,-0.36,0.0,0.4,-0.4,-1.64,-1.73,Matches
471,454,Frederik Rønnow,GK,dk Denmark,31-329,1992,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
472,455,José Sá,GK,pt Portugal,31-163,1993,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
473,456,Marcel Sabitzer,"FW,MF",at Austria,30-103,1994,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,2.0,6.0,4.0,2.0,0.67,,3.8,5.3,-1.5,-0.51,,Matches
474,457,Bukayo Saka,FW,eng England,22-297,2001,3,213.0,71.0,78.9,2.4,3,71.0,0,0,,0,1.67,2.0,1.0,1.0,0.42,0.42,1.7,0.6,1.1,0.46,0.57,Matches
475,458,Bartosz Salamon,DF,pl Poland,33-058,1991,1,85.0,85.0,31.5,0.9,1,85.0,0,0,,2,0.0,1.0,2.0,-1.0,-1.06,-0.09,0.9,1.4,-0.5,-0.53,0.1,Matches
476,459,William Saliba,DF,fr France,23-096,2001,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,1.67,2.0,1.0,1.0,0.33,,5.7,2.4,3.3,1.1,,Matches
477,460,Roland Sallai,MF,hu Hungary,27-037,1997,3,266.0,89.0,98.5,3.0,3,89.0,2,0,,0,1.0,2.0,5.0,-3.0,-1.02,-1.02,3.4,3.8,-0.4,-0.13,-4.01,Matches
478,461,Lazar Samardzic,MF,rs Serbia,22-125,2002,2,54.0,27.0,20.0,0.6,1,45.0,0,1,9.0,1,1.0,1.0,0.0,1.0,1.67,2.5,0.4,0.5,-0.1,-0.24,-0.11,Matches
479,462,Brice Samba,GK,fr France,30-064,1994,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
480,463,Leroy Sané,FW,de Germany,28-169,1996,3,76.0,25.0,28.1,0.8,0,,0,3,25.0,0,2.33,4.0,1.0,3.0,3.55,2.16,1.5,0.6,0.9,1.06,-0.01,Matches
481,464,Leo Sauer,FW,sk Slovakia,18-195,2005,1,5.0,5.0,1.9,0.1,0,,0,1,5.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,1.25,Matches
482,465,Gianluca Scamacca,FW,it Italy,25-179,1999,3,161.0,54.0,59.6,1.8,2,73.0,0,1,16.0,0,1.33,3.0,2.0,1.0,0.56,1.38,1.7,1.8,-0.1,-0.08,0.52,Matches
483,466,András Schäfer,MF,hu Hungary,25-076,1999,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,1.0,2.0,5.0,-3.0,-1.0,,3.7,3.9,-0.2,-0.07,,Matches
484,467,Fabian Schär,DF,ch Switzerland,32-191,1991,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,1.67,5.0,3.0,2.0,0.67,,4.0,3.6,0.5,0.16,,Matches
485,468,Patrik Schick,FW,cz Czechia,28-156,1996,2,127.0,64.0,47.0,1.4,2,64.0,0,0,,0,0.33,2.0,3.0,-1.0,-0.71,-0.08,2.8,1.9,0.9,0.64,0.76,Matches
486,469,Nico Schlotterbeck,DF,de Germany,24-210,1999,1,30.0,30.0,11.1,0.3,0,,0,1,30.0,2,1.0,1.0,0.0,1.0,3.0,1.13,0.9,0.1,0.8,2.45,1.55,Matches
487,470,Kasper Schmeichel,GK,dk Denmark,37-236,1986,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,1.0,2.0,2.0,0.0,0.0,,3.2,2.2,0.9,0.31,,Matches
488,471,Romano Schmid,"FW,MF",at Austria,24-153,2000,3,100.0,33.0,37.0,1.1,1,89.0,0,2,6.0,0,2.0,3.0,2.0,1.0,0.9,0.37,1.4,2.0,-0.7,-0.61,-0.16,Matches
489,472,Jerdy Schouten,MF,nl Netherlands,27-168,1997,3,252.0,84.0,93.3,2.8,3,84.0,2,0,,0,1.33,4.0,4.0,0.0,0.0,0.0,3.6,3.6,0.0,0.01,0.08,Matches
490,473,Ivan Schranz,FW,sk Slovakia,30-289,1993,3,242.0,81.0,89.6,2.7,3,81.0,0,0,,0,1.33,3.0,3.0,0.0,0.0,0.0,2.2,4.2,-2.0,-0.73,-0.54,Matches
491,474,Taulant Seferi,FW,al Albania,27-226,1996,2,94.0,47.0,34.8,1.0,1,67.0,0,1,27.0,1,0.5,2.0,4.0,-2.0,-1.91,-1.91,0.7,2.9,-2.1,-2.03,-1.46,Matches
492,475,Matthias Seidl,MF,at Austria,23-156,2001,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
494,476,Nicolas Seiwald,MF,at Austria,23-055,2001,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,2.0,6.0,4.0,2.0,0.67,,3.8,5.3,-1.5,-0.51,,Matches
495,477,Matz Sels,GK,be Belgium,32-123,1992,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
496,478,Nélson Semedo,DF,pt Portugal,30-225,1993,3,49.0,16.0,18.1,0.5,0,,0,3,16.0,0,2.0,1.0,0.0,1.0,1.84,1.43,2.1,0.1,2.0,3.76,3.4,Matches
497,479,Benjamin Šeško,FW,si Slovenia,21-028,2003,3,238.0,79.0,88.1,2.6,3,79.0,0,0,,0,1.0,2.0,1.0,1.0,0.38,3.19,2.6,3.7,-1.1,-0.41,0.73,Matches
498,480,Petr Ševčík,MF,cz Czechia,30-055,1994,2,22.0,11.0,8.1,0.2,0,,0,2,11.0,1,0.5,0.0,1.0,-1.0,-4.09,-3.73,0.3,0.9,-0.6,-2.6,-3.09,Matches
499,481,Stephan El Shaarawy,"DF,FW",it Italy,31-245,1992,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
500,482,Lawrence Shankland,FW,sct Scotland,28-323,1995,3,25.0,8.0,9.3,0.3,0,,0,3,8.0,0,0.33,1.0,2.0,-1.0,-3.6,-2.13,0.2,0.9,-0.7,-2.49,-1.47,Matches
501,483,Mykola Shaparenko,MF,ua Ukraine,25-268,1998,3,220.0,73.0,81.5,2.4,3,73.0,0,0,,0,1.33,2.0,4.0,-2.0,-0.82,-0.82,2.0,2.4,-0.5,-0.18,-1.38,Matches
502,484,Xherdan Shaqiri,MF,ch Switzerland,32-262,1991,1,59.0,59.0,21.9,0.7,1,59.0,0,0,,2,1.0,1.0,1.0,0.0,0.0,-0.85,0.9,0.2,0.6,0.99,1.06,Matches
503,485,Luke Shaw,"DF,MF",eng England,28-352,1995,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
504,486,Levan Shengelia,"FW,MF",ge Georgia,28-245,1995,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
505,487,Vincent Sierro,MF,ch Switzerland,28-264,1995,2,21.0,11.0,7.8,0.2,0,,0,2,11.0,1,2.0,1.0,0.0,1.0,4.29,3.92,0.9,0.2,0.6,2.76,2.81,Matches
506,488,Gabriel Sigua,MF,ge Georgia,18-364,2005,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
507,489,António Silva,DF,pt Portugal,20-242,2003,2,73.0,37.0,27.0,0.8,1,65.0,0,1,8.0,1,1.5,0.0,2.0,-2.0,-2.47,-4.29,1.0,1.6,-0.6,-0.69,-2.29,Matches
508,490,Bernardo Silva,FW,pt Portugal,29-323,1994,2,180.0,90.0,66.7,2.0,2,90.0,2,0,,1,3.0,5.0,1.0,4.0,2.0,4.0,3.7,1.1,2.6,1.29,0.95,Matches
509,491,Unai Simón,GK,es Spain,27-017,1997,2,180.0,90.0,66.7,2.0,2,90.0,2,0,,1,3.0,4.0,0.0,4.0,2.0,1.0,4.0,2.3,1.7,0.87,-0.15,Matches
510,492,Xavi Simons,"MF,FW",nl Netherlands,21-068,2003,3,189.0,63.0,70.0,2.1,2,67.0,0,1,56.0,0,1.33,3.0,3.0,0.0,0.0,0.0,2.6,2.6,0.0,0.01,0.03,Matches
511,493,Michał Skóraś,DF,pl Poland,24-134,2000,1,23.0,23.0,8.5,0.3,0,,0,1,23.0,2,1.0,1.0,0.0,1.0,3.91,5.37,0.8,0.2,0.6,2.45,3.33,Matches
512,494,Łukasz Skorupski,GK,pl Poland,33-054,1991,1,90.0,90.0,33.3,1.0,1,90.0,1,0,,2,1.0,1.0,1.0,0.0,0.0,1.5,1.2,2.3,-1.1,-1.13,-0.8,Matches
513,495,Andreas Skov Olsen,FW,dk Denmark,24-182,1999,2,54.0,27.0,20.0,0.6,0,,0,2,27.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.6,0.2,0.4,0.62,0.38,Matches
514,496,Milan Škriniar,DF,sk Slovakia,29-138,1995,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,1.33,3.0,3.0,0.0,0.0,,2.3,4.3,-2.0,-0.67,,Matches
515,497,Bartosz Slisz,MF,pl Poland,25-091,1999,2,110.0,55.0,40.7,1.2,1,74.0,0,1,36.0,1,0.0,1.0,3.0,-2.0,-1.64,-1.07,2.4,1.1,1.3,1.06,2.8,Matches
516,498,Yann Sommer,GK,ch Switzerland,35-194,1988,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,1.67,5.0,3.0,2.0,0.67,,4.0,3.6,0.5,0.16,,Matches
517,499,Deian Sorescu,"MF,DF",ro Romania,26-304,1997,2,34.0,17.0,12.6,0.4,0,,0,2,17.0,1,0.5,0.0,0.0,0.0,0.0,-0.38,0.1,0.1,0.0,-0.07,-0.04,Matches
518,500,Borna Sosa,DF,hr Croatia,26-159,1998,1,7.0,7.0,2.6,0.1,0,,0,1,7.0,2,1.0,0.0,1.0,-1.0,-12.86,-12.17,0.2,0.5,-0.2,-3.18,-3.72,Matches
520,501,Tomáš Souček,MF,cz Czechia,29-122,1995,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,0.33,3.0,5.0,-2.0,-0.67,,5.1,4.3,0.7,0.24,,Matches
521,502,Uroš Spajić,DF,rs Serbia,31-136,1993,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
522,503,Andraž Šporar,FW,si Slovenia,30-122,1994,3,264.0,88.0,97.8,2.9,3,88.0,1,0,,0,1.0,2.0,2.0,0.0,0.0,0.0,2.6,4.0,-1.4,-0.49,0.49,Matches
523,504,Nicolae Stanciu,"MF,FW",ro Romania,31-052,1993,3,266.0,89.0,98.5,3.0,3,89.0,2,0,,0,1.33,4.0,3.0,1.0,0.34,0.34,3.2,3.3,-0.1,-0.02,1.2,Matches
524,505,Jindřich Staněk,GK,cz Czechia,28-062,1996,3,234.0,78.0,86.7,2.6,3,78.0,2,0,,0,0.33,2.0,4.0,-2.0,-0.77,-0.77,4.1,3.8,0.3,0.12,-0.9,Matches
525,506,Josip Stanišić,DF,hr Croatia,24-087,2000,2,180.0,90.0,66.7,2.0,2,90.0,2,0,,1,0.5,1.0,4.0,-3.0,-1.5,-1.5,3.1,2.9,0.2,0.08,-1.08,Matches
526,507,Renato Steffen,"FW,MF",ch Switzerland,32-238,1991,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
527,508,Taras Stepanenko,MF,ua Ukraine,34-325,1989,2,82.0,41.0,30.4,0.9,1,61.0,0,1,21.0,1,0.5,0.0,3.0,-3.0,-3.29,-3.77,0.8,1.4,-0.6,-0.68,-1.08,Matches
528,509,Leonidas Stergiou,DF,ch Switzerland,22-117,2002,2,28.0,14.0,10.4,0.3,0,,0,2,14.0,1,2.0,1.0,0.0,1.0,3.21,2.84,1.1,0.1,1.0,3.11,3.29,Matches
529,510,Petar Stojanović,MF,si Slovenia,28-265,1995,3,231.0,77.0,85.6,2.6,3,77.0,1,0,,0,1.0,1.0,1.0,0.0,0.0,0.0,1.7,3.5,-1.8,-0.7,-1.41,Matches
530,511,Nemanja Stojić,MF,rs Serbia,26-165,1998,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
531,512,John Stones,DF,eng England,30-031,1994,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,1.67,2.0,1.0,1.0,0.33,,2.2,1.1,1.0,0.34,,Matches
532,513,Thomas Strakosha,GK,al Albania,29-101,1995,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,0.33,3.0,5.0,-2.0,-0.67,,2.4,5.7,-3.2,-1.07,,Matches
533,514,Dávid Strelec,FW,sk Slovakia,23-085,2001,3,121.0,40.0,44.8,1.3,1,69.0,0,2,26.0,0,1.33,1.0,2.0,-1.0,-0.74,-1.35,1.2,1.7,-0.5,-0.4,0.49,Matches
534,515,Callum Styles,MF,hu Hungary,24-092,2000,1,60.0,60.0,22.2,0.7,1,60.0,0,0,,2,3.0,0.0,0.0,0.0,0.0,1.29,0.4,0.0,0.3,0.49,0.72,Matches
535,516,Luka Sučić,"FW,MF",hr Croatia,21-294,2002,3,140.0,47.0,51.9,1.6,1,69.0,0,2,36.0,0,0.67,3.0,1.0,2.0,1.29,4.75,4.2,1.2,2.9,1.89,3.02,Matches
536,517,Heorhiy Sudakov,MF,ua Ukraine,21-301,2002,3,262.0,87.0,97.0,2.9,3,87.0,2,0,,0,1.33,2.0,4.0,-2.0,-0.69,-0.69,2.7,2.8,-0.1,-0.03,-3.26,Matches
537,518,Pavel Šulc,MF,cz Czechia,23-182,2000,1,78.0,78.0,28.9,0.9,1,78.0,0,0,,2,0.0,1.0,1.0,0.0,0.0,0.94,0.2,1.1,-0.9,-1.09,-1.87,Matches
538,519,Tomáš Suslov,FW,sk Slovakia,22-021,2002,3,66.0,22.0,24.4,0.7,0,,0,3,22.0,0,1.33,0.0,1.0,-1.0,-1.36,-1.8,0.4,0.5,-0.2,-0.24,0.57,Matches
539,520,Adrian Șut,MF,ro Romania,25-059,1999,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
540,521,Josip Šutalo,DF,hr Croatia,24-121,2000,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,0.67,3.0,6.0,-3.0,-1.0,,5.7,4.4,1.3,0.44,,Matches
541,522,Oleksandr Svatok,DF,ua Ukraine,29-275,1994,1,80.0,80.0,29.6,0.9,1,80.0,0,0,,2,1.0,0.0,0.0,0.0,0.0,0.95,0.5,0.7,-0.2,-0.26,-0.48,Matches
542,523,Karol Świderski,FW,pl Poland,27-157,1997,3,90.0,30.0,33.3,1.0,0,,0,3,30.0,0,0.33,1.0,3.0,-2.0,-2.0,-1.5,2.5,1.9,0.6,0.56,1.74,Matches
543,524,Serhiy Sydorchuk,MF,ua Ukraine,33-057,1991,1,6.0,6.0,2.2,0.1,0,,0,1,6.0,2,3.0,0.0,0.0,0.0,0.0,0.68,0.0,0.0,0.0,-0.46,-0.55,Matches
544,525,Attila Szalai,DF,hu Hungary,26-160,1998,2,95.0,48.0,35.2,1.1,1,78.0,0,1,17.0,1,1.5,2.0,2.0,0.0,0.0,1.54,2.1,1.7,0.3,0.31,0.59,Matches
546,526,Péter Szappanos,GK,hu Hungary,33-227,1990,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
547,527,Wojciech Szczęsny,GK,pl Poland,34-071,1990,2,180.0,90.0,66.7,2.0,2,90.0,2,0,,1,0.0,2.0,5.0,-3.0,-1.5,-1.5,2.9,3.6,-0.7,-0.33,0.8,Matches
548,528,Dominik Szoboszlai,MF,hu Hungary,23-247,2000,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,1.0,2.0,5.0,-3.0,-1.0,,3.7,3.9,-0.2,-0.07,,Matches
549,529,Damian Szymański,MF,pl Poland,29-012,1995,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
550,530,Sebastian Szymański,MF,pl Poland,25-049,1999,2,112.0,56.0,41.5,1.2,2,56.0,0,0,,1,0.5,1.0,2.0,-1.0,-0.8,0.34,0.5,3.1,-2.6,-2.11,-2.59,Matches
551,531,Jemal Tabidze,DF,ge Georgia,28-102,1996,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
552,532,Dušan Tadić,MF,rs Serbia,35-221,1988,3,156.0,52.0,57.8,1.7,1,81.0,0,2,38.0,0,0.67,0.0,1.0,-1.0,-0.58,-0.58,1.6,1.7,-0.1,-0.04,0.26,Matches
553,533,Jonathan Tah,DF,de Germany,28-138,1996,3,240.0,80.0,88.9,2.7,3,80.0,2,0,,0,2.33,7.0,2.0,5.0,1.87,-1.13,4.1,1.7,2.4,0.89,-1.55,Matches
554,534,Maksym Talovierov,MF,ua Ukraine,24-000,2000,1,1.0,1.0,0.4,0.0,0,,0,1,1.0,2,3.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,-1.36,-1.44,Matches
555,535,Stefan Târnovanu,GK,ro Romania,24-050,2000,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
556,536,Greg Taylor,"DF,MF",sct Scotland,26-236,1997,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
557,537,Aurélien Tchouaméni,MF,fr France,24-153,2000,2,170.0,85.0,63.0,1.9,2,85.0,1,0,,1,1.0,1.0,1.0,0.0,0.0,-0.9,3.5,1.6,1.9,1.0,-0.28,Matches
558,538,Marc-André ter Stegen,GK,de Germany,32-059,1992,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
559,539,Arthur Theate,DF,be Belgium,24-034,2000,2,166.0,83.0,61.5,1.8,2,83.0,1,0,,1,2.0,1.0,0.0,1.0,0.54,0.54,2.1,1.4,0.7,0.37,-0.7,Matches
560,540,Marcus Thuram,FW,fr France,26-327,1997,2,164.0,82.0,60.7,1.8,2,82.0,1,0,,1,2.0,1.0,0.0,1.0,0.55,0.55,3.4,1.2,2.2,1.19,0.22,Matches
561,541,Youri Tielemans,MF,be Belgium,27-052,1997,3,148.0,49.0,54.8,1.6,2,66.0,0,1,17.0,0,1.33,1.0,0.0,1.0,0.61,0.61,1.9,1.0,0.9,0.55,-0.2,Matches
562,542,Kieran Tierney,DF,sct Scotland,27-023,1997,2,136.0,68.0,50.4,1.5,2,68.0,0,0,,0,0.5,1.0,5.0,-4.0,-2.65,-1.98,0.2,2.8,-2.6,-1.72,-1.12,Matches
563,543,Ivan Toney,FW,eng England,28-104,1996,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
564,544,Ferrán Torres,FW,es Spain,24-120,2000,3,95.0,32.0,35.2,1.1,1,70.0,0,2,13.0,0,3.0,1.0,0.0,1.0,0.95,-1.11,1.7,0.4,1.3,1.24,0.5,Matches
565,545,Cenk Tosun,FW,tr Türkiye,33-021,1991,1,16.0,16.0,5.9,0.2,0,,0,1,16.0,2,3.0,1.0,0.0,1.0,5.63,5.98,0.4,0.3,0.2,0.86,0.82,Matches
566,546,Gernot Trauner,DF,at Austria,32-095,1992,2,90.0,45.0,33.3,1.0,1,58.0,0,1,32.0,1,1.5,1.0,1.0,0.0,0.0,-1.0,0.8,2.2,-1.4,-1.37,-1.3,Matches
567,547,Kieran Trippier,DF,eng England,33-283,1990,3,263.0,88.0,97.4,2.9,3,88.0,2,0,,0,1.67,2.0,1.0,1.0,0.34,0.34,2.1,1.1,1.0,0.33,-0.51,Matches
568,548,Leandro Trossard,FW,be Belgium,29-207,1994,3,169.0,56.0,62.6,1.9,2,67.0,0,1,35.0,0,1.33,1.0,1.0,0.0,0.0,-0.89,3.0,1.2,1.7,0.91,0.73,Matches
569,549,Anatolii Trubin,GK,ua Ukraine,22-332,2001,2,180.0,90.0,66.7,2.0,2,90.0,2,0,,1,2.0,2.0,1.0,1.0,0.5,3.5,2.3,1.7,0.6,0.28,0.62,Matches
570,550,Heorhii Tsitaishvili,"DF,MF",ge Georgia,23-223,2000,3,162.0,54.0,60.0,1.8,2,67.0,0,1,28.0,0,1.33,2.0,3.0,-1.0,-0.56,-1.39,2.1,6.0,-4.0,-2.2,-2.23,Matches
572,551,Viktor Tsyhankov,FW,ua Ukraine,26-226,1997,1,62.0,62.0,23.0,0.7,1,62.0,0,0,,1,0.0,0.0,3.0,-3.0,-4.35,-4.79,0.2,1.1,-0.8,-1.19,-1.64,Matches
573,552,Ľubomír Tupta,"FW,MF",sk Slovakia,26-093,1998,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
574,553,Oleksandr Tymchyk,DF,ua Ukraine,27-160,1997,3,199.0,66.0,73.7,2.2,2,90.0,2,1,19.0,0,1.33,2.0,1.0,1.0,0.45,4.26,2.7,1.7,0.9,0.42,1.34,Matches
575,554,Deniz Undav,MF,de Germany,27-345,1996,1,7.0,7.0,2.6,0.1,0,,0,1,7.0,2,3.0,0.0,0.0,0.0,0.0,-2.05,0.2,0.3,0.0,-0.44,-1.54,Matches
