,Rk,Player,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,Matches
125,122,Maxim De Cuyper,"DF,MF",be Belgium,23-189,2000,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
126,123,Charles De Ketelaere,"FW,MF",be Belgium,23-110,2001,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
127,124,Vernon De Marco Morlacchi,DF,sk Slovakia,31-223,1992,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
128,125,Zeno Debast,DF,be Belgium,20-248,2003,2,104.0,52.0,38.5,1.2,1,90.0,1,1,14.0,1,1.5,1.0,1.0,0.0,0.0,-0.54,2.2,0.9,1.2,1.07,0.7,Matches
130,126,Thomas Delaney,MF,dk Denmark,32-299,1991,2,16.0,8.0,5.9,0.2,0,,0,2,8.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,-0.2,-1.33,-1.74,Matches
131,127,Ousmane Dembélé,"FW,MF",fr France,27-044,1997,3,229.0,76.0,84.8,2.5,3,76.0,0,0,,0,1.67,2.0,1.0,1.0,0.39,0.39,5.4,2.2,3.2,1.25,0.94,Matches
132,128,Merih Demiral,DF,tr Türkiye,26-115,1998,3,118.0,39.0,43.7,1.3,1,90.0,1,2,14.0,0,2.0,3.0,1.0,2.0,1.53,2.71,2.3,2.1,0.2,0.19,0.18,Matches
133,129,Giovanni Di Lorenzo,"DF,FW",it Italy,30-329,1993,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,1.33,3.0,3.0,0.0,0.0,,2.6,3.5,-0.9,-0.29,,Matches
134,130,Rúben Dias,DF,pt Portugal,27-045,1997,2,180.0,90.0,66.7,2.0,2,90.0,2,0,,1,3.0,5.0,1.0,4.0,2.0,4.0,3.7,1.1,2.6,1.29,0.95,Matches
135,131,Dénes Dibusz,GK,hu Hungary,33-225,1990,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
136,132,Federico Dimarco,"DF,FW",it Italy,26-231,1997,3,228.0,76.0,84.4,2.5,3,76.0,1,0,,0,1.33,2.0,3.0,-1.0,-0.39,-2.54,2.1,3.2,-1.1,-0.43,-0.88,Matches
137,133,Berat Djimsiti,DF,al Albania,31-130,1993,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,0.33,3.0,5.0,-2.0,-0.67,,2.4,5.7,-3.2,-1.07,,Matches
138,134,Jeremy Doku,FW,be Belgium,22-032,2002,3,230.0,77.0,85.2,2.6,3,77.0,0,0,,0,1.33,1.0,1.0,0.0,0.0,-2.25,3.4,1.5,1.9,0.75,0.76,Matches
139,135,Kasper Dolberg,FW,dk Denmark,26-266,1997,2,40.0,20.0,14.8,0.4,0,,0,2,20.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,-0.1,-0.2,-0.6,Matches
140,136,Gianluigi Donnarumma,GK,it Italy,25-124,1999,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,1.33,3.0,3.0,0.0,0.0,,2.6,3.5,-0.9,-0.29,,Matches
141,137,David Doudera,FW,cz Czechia,26-028,1998,1,90.0,90.0,33.3,1.0,1,90.0,1,0,,2,0.0,1.0,2.0,-1.0,-1.0,-0.5,0.4,1.9,-1.4,-1.44,-2.52,Matches
142,138,Artem Dovbyk,FW,ua Ukraine,27-007,1997,3,246.0,82.0,91.1,2.7,3,82.0,2,0,,0,1.33,1.0,4.0,-3.0,-1.1,-4.85,2.6,2.6,0.1,0.03,-0.51,Matches
