,Rk,Player,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
143,139,Niclas Füllkrug,FW,de Germany,31-153,1993,1.8,25,37,67.6,266,70,20,26,76.9,4,8,50.0,0,0,,0,0.6,0.6,-0.6,7,2,1,0,4,Matches
144,140,Mijat Gaćinović,DF,rs Serbia,29-154,1995,0.5,16,24,66.7,346,41,5,6,83.3,6,10,60.0,5,8,62.5,0,0.0,0.0,0.0,0,1,0,0,0,Matches
145,141,Cody Gakpo,FW,nl Netherlands,25-065,1999,5.8,93,133,69.9,1379,417,46,61,75.4,36,45,80.0,5,14,35.7,1,2.0,1.9,-1.0,12,3,9,4,11,Matches
146,142,Conor Gallagher,MF,eng England,24-156,2000,1.3,45,51,88.2,559,85,34,38,89.5,10,11,90.9,0,0,,0,0.0,0.0,0.0,0,3,0,0,1,Matches
147,143,Dániel Gazdag,MF,hu Hungary,28-131,1996,0.0,3,3,100.0,31,8,3,3,100.0,0,0,,0,0,,0,0.0,0.2,0.0,0,0,0,0,0,Matches
148,144,Lutsharel Geertruida,DF,nl Netherlands,23-359,2000,1.2,74,81,91.4,1229,354,36,38,94.7,34,37,91.9,2,3,66.7,0,0.1,0.1,-0.1,1,3,1,1,5,Matches
149,145,Billy Gilmour,MF,sct Scotland,23-030,2001,2.0,95,113,84.1,1403,288,51,57,89.5,35,40,87.5,4,6,66.7,0,0.0,0.0,0.0,0,5,0,0,7,Matches
150,146,Olivier Giroud,FW,fr France,37-285,1986,0.7,8,13,61.5,69,8,7,10,70.0,0,1,0.0,0,0,,0,0.0,0.1,0.0,2,0,0,0,0,Matches
151,147,Klaus Gjasula,MF,al Albania,34-210,1989,0.2,7,11,63.6,98,53,4,6,66.7,3,4,75.0,0,0,,0,0.0,0.0,0.0,0,0,1,0,3,Matches
152,148,Adam Gnezda Čerin,MF,si Slovenia,24-361,1999,4.3,127,164,77.4,2135,610,57,63,90.5,59,73,80.8,10,24,41.7,0,0.0,0.1,0.0,2,6,0,0,11,Matches
153,149,Anthony Gordon,FW,eng England,23-138,2001,0.0,3,3,100.0,47,19,1,1,100.0,2,2,100.0,0,0,,0,0.0,0.0,0.0,1,1,0,0,1,Matches
154,150,Jon Gorenc Stanković,MF,si Slovenia,28-179,1996,1.0,16,23,69.6,259,106,6,6,100.0,8,11,72.7,1,3,33.3,0,0.0,0.0,0.0,0,5,1,0,5,Matches
156,151,Michael Gregoritsch,FW,at Austria,30-084,1994,1.4,23,32,71.9,303,73,16,23,69.6,5,6,83.3,2,2,100.0,0,0.0,0.1,0.0,0,3,1,1,3,Matches
157,152,Antoine Griezmann,"MF,FW",fr France,33-112,1991,4.4,151,194,77.8,2490,638,76,84,90.5,52,70,74.3,16,27,59.3,0,0.3,0.6,-0.3,9,18,9,2,24,Matches
158,153,Florian Grillitsch,MF,at Austria,28-339,1995,2.2,135,162,83.3,2457,519,60,68,88.2,61,67,91.0,13,19,68.4,1,0.1,0.2,0.9,1,22,2,0,22,Matches
159,154,Álex Grimaldo,DF,es Spain,28-295,1995,1.3,88,102,86.3,1205,312,57,59,96.6,23,29,79.3,5,11,45.5,0,0.6,0.5,-0.6,7,3,7,5,6,Matches
160,155,Pascal Groß,MF,de Germany,33-026,1991,0.5,65,69,94.2,1012,231,35,35,100.0,27,28,96.4,2,4,50.0,0,0.0,0.1,0.0,0,8,1,0,5,Matches
161,156,Kamil Grosicki,MF,pl Poland,36-033,1988,0.2,1,5,20.0,24,0,0,2,0.0,1,2,50.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
162,157,Nemanja Gudelj,MF,rs Serbia,32-238,1991,1.0,61,64,95.3,990,275,28,30,93.3,25,25,100.0,6,7,85.7,0,0.0,0.0,0.0,0,2,0,0,7,Matches
163,158,Marc Guéhi,DF,eng England,23-364,2000,5.3,397,423,93.9,6900,2061,155,161,96.3,222,231,96.1,16,25,64.0,1,0.1,0.4,0.9,1,17,0,0,17,Matches
164,159,Péter Gulácsi,GK,hu Hungary,34-066,1990,3.0,74,97,76.3,1948,1186,14,14,100.0,40,42,95.2,20,41,48.8,0,0.0,0.0,0.0,0,1,0,0,0,Matches
165,160,Arda Güler,"FW,MF",tr Türkiye,19-137,2005,3.8,162,197,82.2,2656,563,84,88,95.5,59,70,84.3,14,31,45.2,2,1.4,1.2,0.6,8,12,4,2,20,Matches
166,161,İlkay Gündoğan,MF,de Germany,33-261,1990,4.3,142,167,85.0,2113,493,78,87,89.7,48,57,84.2,10,12,83.3,1,0.2,0.9,0.8,2,9,2,0,21,Matches
167,162,Angus Gunn,GK,sct Scotland,28-171,1996,3.0,72,117,61.5,2396,2074,20,20,100.0,21,21,100.0,31,76,40.8,0,0.0,0.0,0.0,0,3,0,0,0,Matches
168,163,Mert Günok,GK,tr Türkiye,35-132,1989,4.0,83,129,64.3,2579,1794,7,7,100.0,47,47,100.0,29,74,39.2,0,0.0,0.0,0.0,0,2,0,0,0,Matches
169,164,Joško Gvardiol,DF,hr Croatia,22-170,2002,3.0,144,158,91.1,2267,468,78,82,95.1,53,57,93.0,11,15,73.3,0,0.0,0.2,0.0,0,17,3,0,15,Matches
170,165,Giorgi Gwelesiani,DF,ge Georgia,33-067,1991,1.8,26,36,72.2,387,147,16,17,94.1,6,10,60.0,3,8,37.5,0,0.0,0.0,0.0,0,1,0,0,1,Matches
171,166,Norbert Gyömbér,DF,sk Slovakia,32-008,1992,0.4,35,36,97.2,639,273,13,13,100.0,20,20,100.0,1,2,50.0,0,0.1,0.2,-0.1,1,7,1,1,4,Matches
172,167,Ianis Hagi,MF,ro Romania,25-263,1998,2.1,41,67,61.2,522,89,33,38,86.8,7,14,50.0,1,11,9.1,0,0.1,0.1,-0.1,2,4,1,0,3,Matches
173,168,Dávid Hancko,DF,sk Slovakia,26-211,1997,4.1,134,188,71.3,1982,891,67,78,85.9,54,75,72.0,5,17,29.4,0,0.0,0.1,0.0,1,11,3,1,20,Matches
174,169,Grant Hanley,DF,sct Scotland,32-234,1991,2.5,112,136,82.4,1785,659,52,57,91.2,52,63,82.5,5,12,41.7,0,0.1,0.1,-0.1,1,2,0,0,4,Matches
175,170,Lukáš Haraslín,FW,sk Slovakia,28-046,1996,2.9,50,71,70.4,654,226,31,33,93.9,13,21,61.9,3,9,33.3,1,0.6,0.7,0.4,7,0,2,1,2,Matches
176,171,Kai Havertz,"FW,MF",de Germany,25-030,1999,4.3,95,116,81.9,1150,213,59,67,88.1,26,31,83.9,1,1,100.0,1,0.3,0.5,0.7,2,1,4,0,11,Matches
177,172,Jack Hendry,DF,sct Scotland,29-065,1995,2.9,105,131,80.2,1968,738,39,45,86.7,55,66,83.3,10,16,62.5,0,0.0,0.0,0.0,0,9,0,0,6,Matches
178,173,Benjamin Henrichs,DF,de Germany,27-139,1997,0.1,4,5,80.0,93,83,1,2,50.0,2,2,100.0,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,2,Matches
179,174,Theo Hernández,DF,fr France,26-279,1997,6.3,354,394,89.8,4830,1490,227,236,96.2,115,125,92.0,6,17,35.3,0,1.0,0.9,-1.0,6,29,3,1,38,Matches
180,175,Morten Hjulmand,MF,dk Denmark,25-016,1999,2.7,192,217,88.5,2595,552,125,137,91.2,51,55,92.7,6,9,66.7,0,0.1,0.2,-0.1,4,11,0,0,18,Matches
182,176,Adam Hložek,MF,cz Czechia,21-352,2002,1.2,15,16,93.8,205,56,10,11,90.9,4,4,100.0,1,1,100.0,0,0.0,0.1,0.0,0,1,0,0,1,Matches
183,177,Tomáš Holeš,DF,cz Czechia,31-102,1993,3.0,92,121,76.0,1900,750,28,30,93.3,53,61,86.9,10,26,38.5,0,0.0,0.1,0.0,1,12,2,2,8,Matches
184,178,Arbër Hoxha,"FW,MF",al Albania,25-279,1998,0.6,15,21,71.4,182,46,13,16,81.3,1,1,100.0,1,1,100.0,0,0.0,0.1,0.0,1,0,1,0,1,Matches
185,179,Robin Hranáč,DF,cz Czechia,24-164,2000,3.0,74,86,86.0,1491,625,20,21,95.2,46,52,88.5,8,13,61.5,1,0.5,0.0,0.5,2,13,0,0,8,Matches
186,180,Elseid Hysaj,DF,al Albania,30-142,1994,2.0,48,59,81.4,846,315,23,25,92.0,17,21,81.0,8,12,66.7,0,0.1,0.2,-0.1,2,3,0,0,5,Matches
187,181,Pierre Højbjerg,MF,dk Denmark,28-341,1995,3.9,268,302,88.7,4206,1212,145,157,92.4,93,101,92.1,21,31,67.7,0,0.3,0.4,-0.3,4,27,6,1,33,Matches
188,182,Rasmus Højlund,FW,dk Denmark,21-158,2003,3.2,43,55,78.2,452,47,26,30,86.7,8,10,80.0,0,1,0.0,0,0.1,0.1,-0.1,4,0,2,0,3,Matches
189,183,Ivan Ilić,MF,rs Serbia,23-116,2001,2.2,139,149,93.3,2344,577,63,70,90.0,61,63,96.8,11,12,91.7,1,0.3,0.3,0.7,3,13,1,1,13,Matches
190,184,Josip Iličić,"FW,MF",si Slovenia,36-164,1988,0.3,7,11,63.6,109,29,4,6,66.7,3,4,75.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,0,Matches
191,185,Gonçalo Inácio,DF,pt Portugal,22-321,2001,1.3,134,150,89.3,2012,716,74,80,92.5,58,63,92.1,2,5,40.0,0,0.0,0.1,0.0,0,35,0,0,25,Matches
192,186,Luka Ivanušec,MF,hr Croatia,25-228,1998,0.2,7,11,63.6,81,29,4,5,80.0,2,3,66.7,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
193,187,Erik Janža,DF,si Slovenia,31-020,1993,3.0,77,114,67.5,1537,607,25,32,78.1,41,50,82.0,10,27,37.0,0,0.6,0.9,-0.6,3,6,1,0,11,Matches
194,188,Jorginho,MF,it Italy,32-204,1991,2.4,217,238,91.2,3165,754,121,131,92.4,72,77,93.5,15,21,71.4,0,0.0,0.2,0.0,1,12,7,0,18,Matches
195,189,Joselu,FW,es Spain,34-106,1990,1.0,15,18,83.3,208,3,7,9,77.8,4,5,80.0,2,2,100.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
196,190,Diogo Jota,"FW,MF",pt Portugal,27-220,1996,1.1,24,35,68.6,350,78,15,20,75.0,8,11,72.7,1,3,33.3,0,0.3,0.2,-0.3,3,1,2,0,2,Matches
197,191,Luka Jović,"MF,FW",rs Serbia,26-201,1997,1.1,14,19,73.7,233,10,5,7,71.4,8,8,100.0,0,2,0.0,0,0.0,0.0,0.0,1,1,0,0,1,Matches
198,192,Josip Juranović,DF,hr Croatia,28-330,1995,1.0,53,65,81.5,860,247,32,37,86.5,16,20,80.0,5,6,83.3,0,0.2,0.4,-0.2,2,3,4,3,3,Matches
199,193,David Jurásek,DF,cz Czechia,23-339,2000,1.8,45,75,60.0,813,269,25,29,86.2,14,23,60.9,6,19,31.6,0,0.4,0.2,-0.4,3,3,4,3,2,Matches
200,194,Matěj Jurásek,"DF,MF",cz Czechia,20-316,2003,0.5,13,26,50.0,201,89,7,8,87.5,4,10,40.0,1,6,16.7,0,0.0,0.1,0.0,1,0,2,0,2,Matches
201,195,Ferdi Kadioglu,"DF,MF",tr Türkiye,24-278,1999,5.0,239,277,86.3,3681,989,126,137,92.0,93,109,85.3,15,20,75.0,0,0.9,0.4,-0.9,12,17,6,2,24,Matches
202,196,İrfan Kahveci,FW,tr Türkiye,28-362,1995,0.1,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
203,197,Otar Kakabadze,"DF,MF",ge Georgia,29-014,1995,4.0,124,171,72.5,2058,903,65,81,80.2,37,50,74.0,13,22,59.1,0,0.6,0.3,-0.6,2,4,4,1,12,Matches
204,198,Harry Kane,FW,eng England,30-349,1993,6.0,66,94,70.2,1354,338,26,33,78.8,26,33,78.8,10,15,66.7,0,0.3,0.2,-0.3,5,5,7,1,15,Matches
205,199,N'Golo Kanté,MF,fr France,33-104,1991,5.7,289,325,88.9,4395,1268,154,167,92.2,116,123,94.3,12,16,75.0,0,1.4,1.2,-1.4,10,41,8,1,44,Matches
206,200,Žan Karničnik,DF,si Slovenia,29-297,1994,4.3,143,190,75.3,2416,974,65,77,84.4,60,68,88.2,14,31,45.2,0,0.0,0.0,0.0,0,9,1,0,7,Matches
208,201,Guram Kashia,DF,ge Georgia,37-007,1987,4.0,93,114,81.6,1862,792,23,27,85.2,64,72,88.9,5,14,35.7,0,0.0,0.0,0.0,0,2,1,0,2,Matches
209,202,Milos Kerkez,DF,hu Hungary,20-247,2003,2.6,47,77,61.0,715,166,26,37,70.3,18,26,69.2,3,9,33.3,0,0.1,0.0,-0.1,1,2,1,1,5,Matches
210,203,Semih Kılıçsoy,FW,tr Türkiye,18-331,2005,0.0,1,1,100.0,22,16,0,0,,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
211,204,Joshua Kimmich,DF,de Germany,29-154,1995,5.3,363,409,88.8,5675,1565,202,212,95.3,141,160,88.1,15,26,57.7,2,1.4,1.5,0.6,15,28,16,6,39,Matches
212,205,Otar Kiteishvili,MF,ge Georgia,28-107,1996,1.4,45,53,84.9,632,245,22,26,84.6,18,21,85.7,2,3,66.7,0,0.0,0.0,0.0,1,2,1,0,2,Matches
213,206,Jakub Kiwior,DF,pl Poland,24-147,2000,3.0,127,153,83.0,1993,970,67,74,90.5,51,59,86.4,5,11,45.5,0,0.2,0.2,-0.2,3,7,0,0,4,Matches
214,207,László Kleinheisler,MF,hu Hungary,30-094,1994,0.6,16,17,94.1,258,18,7,8,87.5,7,7,100.0,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,2,Matches
215,208,Giorgi Kochorashvili,MF,ge Georgia,25-012,1999,4.0,159,176,90.3,2711,997,73,79,92.4,59,65,90.8,18,20,90.0,1,0.4,0.3,0.6,2,11,2,0,18,Matches
216,209,Orkun Kökçü,MF,tr Türkiye,23-195,2000,2.5,94,123,76.4,1316,371,56,65,86.2,31,42,73.8,3,9,33.3,2,1.1,0.1,0.9,4,11,2,1,11,Matches
217,210,Randal Kolo Muani,FW,fr France,25-219,1998,2.2,27,38,71.1,393,89,19,26,73.1,4,5,80.0,2,2,100.0,0,0.0,0.1,0.0,1,2,0,0,2,Matches
218,211,Yukhym Konoplia,DF,ua Ukraine,24-320,1999,0.8,32,42,76.2,544,137,14,17,82.4,17,21,81.0,1,4,25.0,0,0.0,0.0,0.0,0,2,0,0,3,Matches
219,212,Ezri Konsa,DF,eng England,26-262,1997,1.0,48,50,96.0,769,131,21,21,100.0,24,25,96.0,3,4,75.0,0,0.0,0.0,0.0,0,1,0,0,2,Matches
220,213,Filip Kostić,DF,rs Serbia,31-253,1992,0.5,8,15,53.3,129,13,2,3,66.7,4,7,57.1,1,4,25.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
221,214,Jules Koundé,DF,fr France,25-242,1998,6.3,332,392,84.7,5255,1737,187,207,90.3,128,147,87.1,14,25,56.0,0,0.9,0.9,-0.9,11,25,9,3,36,Matches
222,215,Mateo Kovačić,MF,hr Croatia,30-066,1994,2.5,156,168,92.9,2341,505,88,91,96.7,60,63,95.2,5,9,55.6,0,0.1,0.7,-0.1,4,19,2,0,11,Matches
223,216,Matej Kovar,GK,cz Czechia,24-055,2000,0.4,9,18,50.0,405,342,0,0,,2,2,100.0,7,16,43.8,0,0.0,0.0,0.0,0,2,0,0,0,Matches
224,217,Andrej Kramarić,FW,hr Croatia,33-022,1991,2.7,71,89,79.8,998,114,50,55,90.9,17,24,70.8,3,7,42.9,0,0.2,0.2,-0.2,6,1,3,1,7,Matches
225,218,Ladislav Krejčí,DF,cz Czechia,25-082,1999,3.0,122,143,85.3,2356,698,40,45,88.9,71,79,89.9,11,19,57.9,0,0.0,0.1,0.0,2,14,2,0,19,Matches
226,219,Toni Kroos,MF,de Germany,34-189,1990,5.2,498,551,90.4,8494,3543,243,249,97.6,189,202,93.6,52,82,63.4,0,0.8,1.2,-0.8,15,74,6,1,67,Matches
227,220,Jan Kuchta,FW,cz Czechia,27-185,1997,1.1,11,15,73.3,172,53,5,8,62.5,6,7,85.7,0,0,,0,0.0,0.0,0.0,0,1,0,0,3,Matches
228,221,Juraj Kucka,MF,sk Slovakia,37-136,1987,3.9,93,123,75.6,1168,262,63,70,90.0,21,28,75.0,3,12,25.0,1,0.5,0.3,0.5,4,6,4,2,6,Matches
229,222,Jasmin Kurtić,FW,si Slovenia,35-183,1989,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
230,223,Khvicha Kvaratskhelia,FW,ge Georgia,23-150,2001,3.8,68,86,79.1,903,221,44,47,93.6,19,20,95.0,2,14,14.3,0,0.6,0.5,-0.6,8,3,5,1,10,Matches
231,224,Nika Kvekveskiri,MF,ge Georgia,32-043,1992,0.1,13,15,86.7,165,52,9,10,90.0,4,5,80.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
232,225,Giorgi Kvilitaia,FW,ge Georgia,30-284,1993,0.0,2,3,66.7,10,0,1,2,50.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
234,226,Solomon Kvirkvelia,DF,ge Georgia,32-156,1992,2.0,52,61,85.2,962,375,21,23,91.3,27,29,93.1,4,8,50.0,0,0.0,0.0,0.0,0,3,0,0,5,Matches
235,227,Qazim Laçi,"MF,FW",al Albania,28-174,1996,1.8,36,52,69.2,557,93,20,26,76.9,8,10,80.0,6,11,54.5,0,0.1,0.0,-0.1,3,2,2,1,4,Matches
236,228,Konrad Laimer,"MF,FW",at Austria,27-045,1997,3.0,107,126,84.9,1690,502,52,57,91.2,48,53,90.6,3,3,100.0,0,0.0,0.1,0.0,1,14,1,0,17,Matches
237,229,Ádám Lang,DF,hu Hungary,31-176,1993,0.5,13,19,68.4,208,121,7,9,77.8,5,8,62.5,1,2,50.0,0,0.0,0.0,0.0,0,1,0,0,2,Matches
238,230,Aymeric Laporte,DF,es Spain,30-045,1994,4.8,368,401,91.8,6452,1998,154,159,96.9,190,201,94.5,22,34,64.7,0,0.1,0.2,-0.1,2,47,2,1,40,Matches
239,231,Robin Le Normand,DF,es Spain,27-243,1996,4.0,240,260,92.3,4333,1246,78,82,95.1,151,158,95.6,10,19,52.6,0,0.0,0.1,0.0,1,22,0,0,14,Matches
240,232,Rafael Leão,FW,pt Portugal,25-031,1999,3.2,85,112,75.9,1257,312,52,63,82.5,31,40,77.5,2,4,50.0,0,0.5,0.4,-0.5,5,9,6,3,13,Matches
241,233,Robert Lewandowski,FW,pl Poland,35-325,1988,1.3,19,23,82.6,276,46,12,12,100.0,4,6,66.7,2,4,50.0,0,0.1,0.1,-0.1,1,0,1,0,2,Matches
242,234,Philipp Lienhart,DF,at Austria,28-000,1996,2.4,113,125,90.4,2347,693,28,32,87.5,59,62,95.2,20,23,87.0,0,0.0,0.0,0.0,0,14,0,0,8,Matches
243,235,Ondřej Lingr,"MF,FW",cz Czechia,25-278,1998,0.9,21,27,77.8,265,62,13,13,100.0,6,8,75.0,0,2,0.0,0,0.0,0.0,0.0,0,0,0,0,2,Matches
244,236,Dominik Livaković,GK,hr Croatia,29-184,1995,3.0,69,93,74.2,1660,1191,24,24,100.0,30,30,100.0,15,39,38.5,0,0.0,0.0,0.0,0,0,0,0,0,Matches
245,237,Stanislav Lobotka,MF,sk Slovakia,29-229,1994,4.3,228,243,93.8,3561,1007,132,140,94.3,77,82,93.9,15,16,93.8,0,0.1,0.1,-0.1,4,22,1,0,17,Matches
246,238,Saba Lobzhanidze,FW,ge Georgia,29-206,1994,0.1,0,1,0.0,0,0,0,1,0.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
247,239,Luka Lochoshvili,"DF,MF",ge Georgia,26-043,1998,1.9,41,57,71.9,604,203,23,26,88.5,15,20,75.0,1,6,16.7,0,0.0,0.0,0.0,0,2,0,0,1,Matches
248,240,Fermin López,MF,es Spain,21-061,2003,0.3,8,10,80.0,148,61,5,6,83.3,1,1,100.0,2,2,100.0,0,0.0,0.0,0.0,0,0,0,0,1,Matches
249,241,Romelu Lukaku,FW,be Belgium,31-059,1993,4.0,38,57,66.7,425,88,27,36,75.0,4,8,50.0,3,5,60.0,1,0.2,0.3,0.8,5,0,2,0,3,Matches
250,242,Dodi Lukebakio,"FW,DF",be Belgium,26-291,1997,0.7,24,30,80.0,329,48,15,18,83.3,8,9,88.9,0,1,0.0,0,0.1,0.1,-0.1,2,0,0,0,1,Matches
251,243,Saša Lukić,MF,rs Serbia,27-333,1996,2.3,142,150,94.7,2326,438,63,65,96.9,70,73,95.9,6,9,66.7,0,0.0,0.1,0.0,0,7,1,0,5,Matches
252,244,Andriy Lunin,GK,ua Ukraine,25-151,1999,1.0,23,24,95.8,402,311,8,8,100.0,14,15,93.3,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
253,245,Mike Maignan,GK,fr France,29-008,1995,6.3,136,167,81.4,3153,1905,22,22,100.0,87,87,100.0,27,56,48.2,0,0.0,0.0,0.0,0,1,0,0,0,Matches
254,246,Kobbie Mainoo,MF,eng England,19-083,2005,3.3,170,185,91.9,2458,399,104,107,97.2,50,56,89.3,8,10,80.0,0,0.0,0.5,0.0,3,13,4,0,13,Matches
255,247,Lovro Majer,"FW,MF",hr Croatia,26-176,1998,1.6,92,101,91.1,1338,288,57,59,96.6,25,27,92.6,6,6,100.0,0,0.3,0.4,-0.3,3,4,4,1,11,Matches
256,248,Donyell Malen,FW,nl Netherlands,25-184,1999,2.1,40,56,71.4,540,115,24,28,85.7,9,14,64.3,3,4,75.0,0,0.2,0.2,-0.2,4,3,3,1,7,Matches
257,249,Ruslan Malinovskyi,MF,ua Ukraine,31-068,1993,0.4,24,28,85.7,491,155,10,11,90.9,10,10,100.0,4,7,57.1,0,0.3,0.1,-0.3,2,2,0,0,4,Matches
258,250,Giorgi Mamardashvili,GK,ge Georgia,23-286,2000,4.0,66,124,53.2,2102,1566,13,13,100.0,26,26,100.0,27,85,31.8,0,0.0,0.0,0.0,0,1,0,0,0,Matches
260,251,Dennis Man,MF,ro Romania,25-320,1998,3.0,51,83,61.4,744,195,36,47,76.6,12,20,60.0,3,8,37.5,2,1.0,0.7,1.0,4,2,3,1,5,Matches
261,252,Rey Manaj,FW,al Albania,27-138,1997,1.7,17,28,60.7,220,9,12,19,63.2,4,5,80.0,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
262,253,Gianluca Mancini,DF,it Italy,28-085,1996,1.0,60,66,90.9,904,270,32,33,97.0,25,28,89.3,2,4,50.0,0,0.0,0.0,0.0,0,5,0,0,0,Matches
263,254,Orel Mangala,MF,be Belgium,26-115,1998,1.5,68,70,97.1,973,193,41,41,100.0,24,25,96.0,1,1,100.0,0,0.2,0.1,-0.2,2,3,2,0,6,Matches
264,255,Marius Marin,MF,ro Romania,25-316,1998,3.4,80,99,80.8,1310,415,37,44,84.1,35,38,92.1,5,13,38.5,0,0.2,0.3,-0.2,1,8,1,1,6,Matches
265,256,Răzvan Marin,MF,ro Romania,28-049,1996,3.9,86,109,78.9,1480,497,40,46,87.0,36,41,87.8,7,17,41.2,0,0.1,0.4,-0.1,2,10,1,0,11,Matches
266,257,Ádám Martin,"FW,DF",hu Hungary,29-248,1994,0.5,10,17,58.8,123,8,7,9,77.8,3,7,42.9,0,0,,0,0.1,0.0,-0.1,1,0,0,0,0,Matches
267,258,Mykola Matviyenko,DF,ua Ukraine,28-070,1996,3.0,212,231,91.8,4139,1466,70,73,95.9,120,121,99.2,22,32,68.8,0,0.2,0.3,-0.2,4,18,0,0,11,Matches
268,259,Kylian Mbappé,FW,fr France,25-204,1998,5.2,158,182,86.8,2456,531,96,104,92.3,45,52,86.5,14,15,93.3,1,0.7,1.0,0.3,3,13,10,1,27,Matches
269,260,John McGinn,"MF,FW",sct Scotland,29-267,1994,2.6,28,45,62.2,354,68,14,17,82.4,10,15,66.7,0,5,0.0,0,0.0,0.1,0.0,0,1,1,0,4,Matches
270,261,Callum McGregor,MF,sct Scotland,31-027,1993,2.7,108,119,90.8,1698,233,49,55,89.1,51,53,96.2,3,3,100.0,1,0.1,0.1,0.9,2,5,1,0,5,Matches
271,262,Scott McKenna,DF,sct Scotland,27-242,1996,1.5,75,93,80.6,1261,290,36,40,90.0,36,42,85.7,2,6,33.3,0,0.0,0.1,0.0,0,2,0,0,1,Matches
272,263,Kenny McLean,MF,sct Scotland,32-185,1992,0.5,19,26,73.1,325,84,7,10,70.0,9,12,75.0,2,3,66.7,0,0.0,0.0,0.0,0,1,1,0,2,Matches
273,264,Scott McTominay,MF,sct Scotland,27-216,1996,3.0,42,62,67.7,747,243,21,31,67.7,16,20,80.0,5,8,62.5,0,0.1,0.4,-0.1,2,2,1,0,4,Matches
274,265,Anzor Mekvabishvili,MF,ge Georgia,23-036,2001,2.1,76,91,83.5,1298,425,36,41,87.8,32,34,94.1,5,9,55.6,0,0.0,0.1,0.0,0,6,0,0,8,Matches
275,266,Memphis,"FW,MF",nl Netherlands,30-149,1994,5.1,113,163,69.3,1811,572,58,67,86.6,33,44,75.0,16,32,50.0,1,1.2,1.2,-0.2,11,12,5,1,13,Matches
276,267,Nuno Mendes,DF,pt Portugal,22-022,2002,4.7,322,365,88.2,5173,1597,173,187,92.5,133,144,92.4,16,31,51.6,0,0.0,0.1,0.0,3,36,2,1,31,Matches
277,268,Mikel Merino,"MF,FW",es Spain,28-019,1996,2.0,107,130,82.3,1473,396,67,76,88.2,34,38,89.5,3,6,50.0,0,0.4,0.4,-0.4,4,13,2,0,17,Matches
278,269,Valentin Mihaila,MF,ro Romania,24-160,2000,1.3,21,27,77.8,337,85,14,17,82.4,3,5,60.0,4,5,80.0,0,0.0,0.0,0.0,0,2,1,0,2,Matches
279,270,Srđan Mijailović,DF,rs Serbia,30-244,1993,0.8,14,25,56.0,291,48,4,6,66.7,8,13,61.5,2,5,40.0,0,0.0,0.0,0.0,0,0,1,1,0,Matches
280,271,Georges Mikautadze,FW,ge Georgia,23-254,2000,3.8,55,70,78.6,821,198,33,36,91.7,11,14,78.6,6,10,60.0,1,0.5,0.1,0.5,5,6,2,1,7,Matches
281,272,Nikola Milenković,DF,rs Serbia,26-273,1997,3.0,212,227,93.4,3843,1318,79,82,96.3,117,121,96.7,15,23,65.2,0,0.0,0.0,0.0,1,5,0,0,9,Matches
282,273,Sergej Milinković-Savić,MF,rs Serbia,29-135,1995,1.3,63,76,82.9,1111,251,26,32,81.3,24,28,85.7,10,11,90.9,0,0.1,0.2,-0.1,2,6,3,2,7,Matches
283,274,Mario Mitaj,DF,al Albania,20-340,2003,3.0,127,147,86.4,1744,851,76,84,90.5,46,51,90.2,4,7,57.1,0,0.0,0.0,0.0,0,3,1,0,6,Matches
284,275,Aleksandar Mitrović,FW,rs Serbia,29-299,1994,2.7,38,53,71.7,471,40,26,32,81.3,9,13,69.2,1,2,50.0,0,0.0,0.0,0.0,0,3,1,0,2,Matches
286,276,Maximilian Mittelstädt,DF,de Germany,27-115,1997,3.4,182,217,83.9,2757,686,110,118,93.2,56,67,83.6,12,21,57.1,1,0.4,0.7,0.6,4,9,8,6,10,Matches
287,277,Filip Mladenović,DF,rs Serbia,32-331,1991,1.2,44,61,72.1,551,115,27,29,93.1,12,18,66.7,1,5,20.0,0,0.0,0.0,0.0,1,1,0,0,2,Matches
