,Rk,Player,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches
115,112,Michael Folorunsho,FW,it Italy,26-136,1998,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
116,113,Przemysław Frankowski,DF,pl Poland,29-071,1995,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.4,0.4,6,9,4,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.22,0.0,0.22,Matches
117,114,Davide Frattesi,MF,it Italy,24-244,1999,2,2,135,1.5,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,2,4,9,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.14,0.14,0.14,Matches
118,115,Remo Freuler,MF,ch Switzerland,32-068,1992,2,2,159,1.8,0,1,1,0,0,0,1,0,0.0,0.0,0.1,0.1,3,7,4,0.0,0.57,0.57,0.0,0.57,0.0,0.03,0.03,0.0,0.03,Matches
119,116,Jeremie Frimpong,FW,nl Netherlands,23-195,2000,2,1,82,0.9,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,3,1,9,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07,Matches
120,117,Chris Führich,FW,de Germany,26-165,1998,1,0,19,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,2,3,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.17,0.17,0.17,Matches
121,118,Niclas Füllkrug,FW,de Germany,31-134,1993,2,0,61,0.7,1,0,1,1,0,0,0,0,0.3,0.3,0.1,0.5,0,1,2,1.48,0.0,1.48,1.48,1.48,0.48,0.2,0.68,0.48,0.68,Matches
122,119,Mijat Gaćinović,DF,rs Serbia,29-135,1995,1,0,45,0.5,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,0,4,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.13,0.13,0.13,Matches
123,120,Cody Gakpo,FW,nl Netherlands,25-046,1999,2,2,170,1.9,1,0,1,1,0,0,0,0,0.4,0.4,0.5,0.9,9,3,25,0.53,0.0,0.53,0.53,0.53,0.22,0.27,0.5,0.22,0.5,Matches
124,121,Conor Gallagher,MF,eng England,24-137,2000,2,0,59,0.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
125,122,Dániel Gazdag,MF,hu Hungary,28-112,1996,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
126,123,Lutsharel Geertruida,DF,nl Netherlands,23-340,2000,1,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
127,124,Billy Gilmour,MF,sct Scotland,23-011,2001,2,1,102,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,2,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches
128,125,Olivier Giroud,FW,fr France,37-266,1986,2,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.0,0.08,Matches
130,126,Klaus Gjasula,MF,al Albania,34-191,1989,1,0,19,0.2,1,0,1,1,0,0,1,0,0.3,0.3,0.0,0.3,0,3,0,4.74,0.0,4.74,4.74,4.74,1.48,0.0,1.48,1.48,1.48,Matches
131,127,Adam Gnezda Čerin,MF,si Slovenia,24-342,1999,2,2,180,2.0,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,3,5,2,0.0,0.0,0.0,0.0,0.0,0.1,0.01,0.11,0.1,0.11,Matches
132,128,Jon Gorenc Stanković,MF,si Slovenia,28-160,1996,2,0,42,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
133,129,Michael Gregoritsch,FW,at Austria,30-065,1994,2,1,68,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
134,130,Antoine Griezmann,"FW,MF",fr France,33-093,1991,2,2,179,2.0,0,0,0,0,0,0,0,0,1.8,1.8,0.2,1.9,3,11,8,0.0,0.0,0.0,0.0,0.0,0.89,0.08,0.97,0.89,0.97,Matches
135,131,Florian Grillitsch,MF,at Austria,28-320,1995,2,2,104,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4,9,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
136,132,Pascal Groß,MF,de Germany,33-007,1991,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,5,2,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07,Matches
137,133,Kamil Grosicki,MF,pl Poland,36-014,1988,1,0,16,0.2,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,0,0,1,0.0,0.0,0.0,0.0,0.0,1.61,0.0,1.61,1.61,1.61,Matches
138,134,Nemanja Gudelj,MF,rs Serbia,32-219,1991,1,1,45,0.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
139,135,Marc Guéhi,DF,eng England,23-345,2000,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,5,1,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches
140,136,Péter Gulácsi,GK,hu Hungary,34-047,1990,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
141,137,Arda Güler,FW,tr Türkiye,19-118,2005,1,1,78,0.9,1,0,1,1,0,0,0,0,0.0,0.0,0.5,0.6,3,2,5,1.15,0.0,1.15,1.15,1.15,0.04,0.63,0.67,0.04,0.67,Matches
142,138,İlkay Gündoğan,MF,de Germany,33-242,1990,2,2,173,1.9,1,1,2,1,0,0,0,0,0.5,0.5,0.2,0.7,1,3,17,0.52,0.52,1.04,0.52,1.04,0.27,0.1,0.37,0.27,0.37,Matches
143,139,Angus Gunn,GK,sct Scotland,28-152,1996,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
144,140,Mert Günok,GK,tr Türkiye,35-113,1989,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
145,141,Joško Gvardiol,DF,hr Croatia,22-151,2002,2,2,180,2.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,13,8,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05,Matches
146,142,Ianis Hagi,MF,ro Romania,25-244,1998,1,0,29,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
147,143,Dávid Hancko,DF,sk Slovakia,26-192,1997,2,2,156,1.7,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,5,10,6,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.07,0.05,0.07,Matches
148,144,Grant Hanley,DF,sct Scotland,32-215,1991,2,1,135,1.5,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,1,0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.16,0.16,0.16,Matches
149,145,Lukáš Haraslín,FW,sk Slovakia,28-027,1996,2,2,135,1.5,0,1,1,0,0,0,0,0,0.2,0.2,0.6,0.9,8,1,12,0.0,0.67,0.67,0.0,0.67,0.14,0.43,0.58,0.14,0.58,Matches
150,146,Kai Havertz,FW,de Germany,25-011,1999,2,2,119,1.3,1,1,2,0,1,1,0,0,1.1,0.4,0.2,0.5,1,0,11,0.76,0.76,1.51,0.0,0.76,0.87,0.13,1.0,0.27,0.4,Matches
151,147,Jack Hendry,DF,sct Scotland,29-046,1995,2,2,171,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches
152,148,Theo Hernández,DF,fr France,26-260,1997,2,2,180,2.0,0,0,0,0,0,0,0,0,0.1,0.1,0.8,0.9,6,7,17,0.0,0.0,0.0,0.0,0.0,0.04,0.41,0.45,0.04,0.45,Matches
153,149,Morten Hjulmand,MF,dk Denmark,24-363,1999,2,2,169,1.9,1,0,1,1,0,0,1,0,0.1,0.1,0.0,0.1,0,11,5,0.53,0.0,0.53,0.53,0.53,0.05,0.01,0.06,0.05,0.06,Matches
154,150,Tomáš Holeš,DF,cz Czechia,31-083,1993,1,1,89,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
156,151,Arbër Hoxha,"MF,FW",al Albania,25-260,1998,2,0,29,0.3,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,3,0,2,0.0,0.0,0.0,0.0,0.0,0.17,0.13,0.3,0.17,0.3,Matches
157,152,Robin Hranáč,DF,cz Czechia,24-145,2000,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
158,153,Elseid Hysaj,DF,al Albania,30-123,1994,2,2,180,2.0,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,0,5,2,0.0,0.0,0.0,0.0,0.0,0.04,0.07,0.11,0.04,0.11,Matches
159,154,Pierre Højbjerg,MF,dk Denmark,28-322,1995,2,2,173,1.9,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,6,15,7,0.0,0.0,0.0,0.0,0.0,0.1,0.04,0.14,0.1,0.14,Matches
160,155,Rasmus Højlund,FW,dk Denmark,21-139,2003,2,2,148,1.6,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.3,2,3,10,0.0,0.0,0.0,0.0,0.0,0.17,0.03,0.2,0.17,0.2,Matches
161,156,Ivan Ilić,MF,rs Serbia,23-097,2001,2,1,135,1.5,0,1,1,0,0,0,0,0,0.0,0.0,0.3,0.4,3,11,5,0.0,0.67,0.67,0.0,0.67,0.03,0.23,0.25,0.03,0.25,Matches
162,157,Gonçalo Inácio,DF,pt Portugal,22-302,2001,1,0,28,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
163,158,Erik Janža,DF,si Slovenia,31-001,1993,2,2,180,2.0,1,0,1,1,0,0,1,0,0.0,0.0,0.6,0.6,3,11,5,0.5,0.0,0.5,0.5,0.5,0.02,0.29,0.31,0.02,0.31,Matches
164,159,Jorginho,MF,it Italy,32-185,1991,2,2,135,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,12,3,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches
165,160,Diogo Jota,FW,pt Portugal,27-201,1996,1,0,28,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.0,0.12,Matches
166,161,Luka Jović,"MF,FW",rs Serbia,26-182,1997,2,0,57,0.6,1,0,1,1,0,0,1,0,0.2,0.2,0.0,0.2,0,1,2,1.58,0.0,1.58,1.58,1.58,0.3,0.06,0.36,0.3,0.36,Matches
167,162,Josip Juranović,DF,hr Croatia,28-311,1995,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,0,3,10,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.16,0.0,0.16,Matches
168,163,Ferdi Kadioglu,"DF,MF",tr Türkiye,24-259,1999,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,4,8,11,0.0,0.0,0.0,0.0,0.0,0.01,0.5,0.5,0.01,0.5,Matches
169,164,Otar Kakabadze,"DF,MF",ge Georgia,28-361,1995,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,1,7,3,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.16,0.0,0.16,Matches
170,165,Harry Kane,FW,eng England,30-330,1993,2,2,158,1.8,1,0,1,1,0,0,0,0,0.5,0.5,0.0,0.5,1,2,3,0.57,0.0,0.57,0.57,0.57,0.27,0.01,0.28,0.27,0.28,Matches
171,166,N'Golo Kanté,MF,fr France,33-085,1991,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.9,1.0,3,16,6,0.0,0.0,0.0,0.0,0.0,0.02,0.47,0.49,0.02,0.49,Matches
172,167,Žan Karničnik,DF,si Slovenia,29-278,1994,2,2,180,2.0,1,0,1,1,0,0,0,0,0.5,0.5,0.0,0.5,4,4,6,0.5,0.0,0.5,0.5,0.5,0.27,0.0,0.27,0.27,0.27,Matches
173,168,Guram Kashia,DF,ge Georgia,36-354,1987,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
174,169,Milos Kerkez,DF,hu Hungary,20-228,2003,2,2,152,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,8,3,7,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04,Matches
175,170,Joshua Kimmich,DF,de Germany,29-135,1995,2,2,180,2.0,0,1,1,0,0,0,0,0,0.1,0.1,0.6,0.7,6,19,23,0.0,0.5,0.5,0.0,0.5,0.07,0.29,0.35,0.07,0.35,Matches
176,171,Jakub Kiwior,DF,pl Poland,24-128,2000,2,2,180,2.0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,1,3,2,0.0,0.0,0.0,0.0,0.0,0.07,0.09,0.17,0.07,0.17,Matches
177,172,László Kleinheisler,MF,hu Hungary,30-075,1994,2,0,51,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
178,173,Giorgi Kochorashvili,MF,ge Georgia,24-359,1999,1,1,90,1.0,0,1,1,0,0,0,0,0,0.3,0.3,0.3,0.6,3,7,1,0.0,1.0,1.0,0.0,1.0,0.28,0.33,0.61,0.28,0.61,Matches
179,174,Orkun Kökçü,MF,tr Türkiye,23-176,2000,1,1,90,1.0,0,1,1,0,0,0,0,0,0.9,0.9,0.9,1.7,1,3,5,0.0,1.0,1.0,0.0,1.0,0.86,0.88,1.74,0.86,1.74,Matches
180,175,Randal Kolo Muani,FW,fr France,25-200,1998,1,0,20,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
182,176,Yukhym Konoplia,DF,ua Ukraine,24-301,1999,1,1,71,0.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,3,3,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
183,177,Filip Kostić,DF,rs Serbia,31-234,1992,1,1,42,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
184,178,Jules Koundé,DF,fr France,25-223,1998,2,2,180,2.0,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.2,3,9,12,0.0,0.0,0.0,0.0,0.0,0.08,0.04,0.12,0.08,0.12,Matches
185,179,Mateo Kovačić,MF,hr Croatia,30-047,1994,2,2,154,1.7,0,0,0,0,0,0,0,0,0.5,0.5,0.1,0.6,11,8,3,0.0,0.0,0.0,0.0,0.0,0.3,0.08,0.38,0.3,0.38,Matches
186,180,Andrej Kramarić,FW,hr Croatia,33-003,1991,2,2,154,1.7,1,0,1,1,0,0,0,0,0.7,0.7,0.2,0.8,3,5,26,0.58,0.0,0.58,0.58,0.58,0.4,0.1,0.49,0.4,0.49,Matches
187,181,Ladislav Krejčí,DF,cz Czechia,25-063,1999,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
188,182,Toni Kroos,MF,de Germany,34-170,1990,2,2,169,1.9,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.3,1,38,4,0.0,0.0,0.0,0.0,0.0,0.03,0.14,0.17,0.03,0.17,Matches
189,183,Jan Kuchta,FW,cz Czechia,27-166,1997,1,1,59,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
190,184,Juraj Kucka,MF,sk Slovakia,37-117,1987,2,2,180,2.0,0,0,0,0,0,0,0,0,0.4,0.4,0.2,0.6,2,2,8,0.0,0.0,0.0,0.0,0.0,0.18,0.11,0.28,0.18,0.28,Matches
191,185,Jasmin Kurtić,FW,si Slovenia,35-164,1989,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
192,186,Khvicha Kvaratskhelia,FW,ge Georgia,23-131,2001,1,1,90,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.5,5,3,8,0.0,0.0,0.0,0.0,0.0,0.15,0.34,0.49,0.15,0.49,Matches
193,187,Solomon Kvirkvelia,DF,ge Georgia,32-137,1992,1,1,84,0.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
194,188,Qazim Laçi,"MF,FW",al Albania,28-155,1996,2,1,94,1.0,1,0,1,1,0,0,0,0,0.3,0.3,0.1,0.4,2,3,4,0.96,0.0,0.96,0.96,0.96,0.32,0.06,0.38,0.32,0.38,Matches
195,189,Konrad Laimer,"MF,FW",at Austria,27-026,1997,2,2,179,2.0,0,0,0,0,0,0,1,0,0.4,0.4,0.0,0.4,5,12,10,0.0,0.0,0.0,0.0,0.0,0.19,0.01,0.21,0.19,0.21,Matches
196,190,Ádám Lang,DF,hu Hungary,31-157,1993,1,1,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
197,191,Aymeric Laporte,DF,es Spain,30-026,1994,1,1,90,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,6,0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.12,0.12,0.12,Matches
198,192,Robin Le Normand,DF,es Spain,27-224,1996,2,2,180,2.0,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,1,5,1,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.11,0.11,0.11,Matches
199,193,Rafael Leão,FW,pt Portugal,25-012,1999,1,1,62,0.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.1,8,0,8,0.0,0.0,0.0,0.0,0.0,0.04,0.06,0.1,0.04,0.1,Matches
200,194,Robert Lewandowski,FW,pl Poland,35-306,1988,1,0,31,0.3,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.19,0.0,0.19,Matches
201,195,Philipp Lienhart,DF,at Austria,27-347,1996,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
202,196,Ondřej Lingr,FW,cz Czechia,25-259,1998,1,0,31,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
203,197,Dominik Livaković,GK,hr Croatia,29-165,1995,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
204,198,Stanislav Lobotka,MF,sk Slovakia,29-210,1994,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,3,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04,Matches
205,199,Luka Lochoshvili,"DF,MF",ge Georgia,26-024,1998,1,0,17,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.32,0.32,0.32,Matches
206,200,Romelu Lukaku,FW,be Belgium,31-040,1993,1,1,90,1.0,0,0,0,0,0,0,0,0,0.6,0.6,0.1,0.7,1,1,6,0.0,0.0,0.0,0.0,0.0,0.61,0.1,0.71,0.61,0.71,Matches
208,201,Dodi Lukebakio,DF,be Belgium,26-272,1997,1,0,7,0.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
209,202,Saša Lukić,MF,rs Serbia,27-314,1996,2,2,123,1.4,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,3,3,5,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.06,Matches
210,203,Andriy Lunin,GK,ua Ukraine,25-132,1999,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
211,204,Mike Maignan,GK,fr France,28-355,1995,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
212,205,Kobbie Mainoo,MF,eng England,19-064,2005,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
213,206,Lovro Majer,"FW,MF",hr Croatia,26-157,1998,2,2,135,1.5,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.5,4,9,10,0.0,0.0,0.0,0.0,0.0,0.12,0.22,0.34,0.12,0.34,Matches
214,207,Donyell Malen,FW,nl Netherlands,25-165,1999,1,0,29,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4,2,6,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.0,0.07,Matches
215,208,Ruslan Malinovskyi,MF,ua Ukraine,31-049,1993,2,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
216,209,Giorgi Mamardashvili,GK,ge Georgia,23-267,2000,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
217,210,Dennis Man,MF,ro Romania,25-301,1998,1,1,61,0.7,0,2,2,0,0,0,0,0,0.0,0.0,0.9,1.0,1,1,7,0.0,2.95,2.95,0.0,2.95,0.04,1.38,1.42,0.04,1.42,Matches
218,211,Rey Manaj,FW,al Albania,27-119,1997,2,1,98,1.1,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,0,0,4,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.34,0.34,0.34,Matches
219,212,Orel Mangala,MF,be Belgium,26-096,1998,1,1,56,0.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
220,213,Marius Marin,MF,ro Romania,25-297,1998,1,1,74,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
221,214,Răzvan Marin,MF,ro Romania,28-030,1996,1,1,90,1.0,1,0,1,1,0,0,1,0,0.0,0.0,0.0,0.1,1,2,3,1.0,0.0,1.0,1.0,1.0,0.02,0.03,0.05,0.02,0.05,Matches
222,215,Ádám Martin,"FW,DF",hu Hungary,29-229,1994,2,0,28,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
223,216,Mykola Matviyenko,DF,ua Ukraine,28-051,1996,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,5,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.06,Matches
224,217,Kylian Mbappé,FW,fr France,25-185,1998,1,1,89,1.0,0,0,0,0,0,0,1,0,0.8,0.8,0.0,0.8,5,5,9,0.0,0.0,0.0,0.0,0.0,0.82,0.0,0.82,0.82,0.82,Matches
225,218,John McGinn,"FW,MF",sct Scotland,29-248,1994,2,2,155,1.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
226,219,Callum McGregor,MF,sct Scotland,31-008,1993,2,2,156,1.7,0,1,1,0,0,0,0,0,0.0,0.0,0.1,0.2,0,2,2,0.0,0.58,0.58,0.0,0.58,0.02,0.08,0.1,0.02,0.1,Matches
227,220,Scott McKenna,DF,sct Scotland,27-223,1996,2,0,44,0.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.06,Matches
228,221,Kenny McLean,MF,sct Scotland,32-166,1992,2,0,36,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,1,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches
229,222,Scott McTominay,MF,sct Scotland,27-197,1996,2,2,180,2.0,1,0,1,1,0,0,1,0,0.3,0.3,0.1,0.4,0,1,0,0.5,0.0,0.5,0.5,0.5,0.14,0.06,0.21,0.14,0.21,Matches
230,223,Anzor Mekvabishvili,MF,ge Georgia,23-017,2001,1,1,88,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,2,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches
231,224,Memphis,FW,nl Netherlands,30-130,1994,2,2,158,1.8,0,0,0,0,0,0,0,0,0.6,0.6,0.1,0.7,2,6,9,0.0,0.0,0.0,0.0,0.0,0.36,0.05,0.41,0.36,0.41,Matches
