,Rk,Player,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
198,192,David Jurásek,DF,cz Czechia,23-332,2000,1.8,1,0,0,1,0,0,15,1,2,0,0,0,5,2,2,50.0,Matches
199,193,Matěj Jurásek,"DF,MF",cz Czechia,20-309,2003,0.5,0,0,0,0,1,0,9,0,1,0,0,0,5,0,0,,Matches
200,194,Ferdi Kadioglu,"DF,MF",tr Türkiye,24-271,1999,4.0,0,0,0,1,7,0,4,7,10,0,0,0,21,2,5,28.6,Matches
201,195,İrfan Kahveci,FW,tr Türkiye,28-355,1995,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
202,196,Otar Kakabadze,"DF,MF",ge Georgia,29-007,1995,4.0,0,0,0,3,4,0,5,4,8,0,0,0,21,4,7,36.4,Matches
203,197,Harry Kane,FW,eng England,30-342,1993,3.9,0,0,0,3,8,0,3,1,1,0,0,0,8,7,6,53.8,Matches
204,198,N'Golo Kanté,MF,fr France,33-097,1991,3.7,0,0,0,5,1,0,2,3,7,0,0,0,20,2,2,50.0,Matches
205,199,Žan Karničnik,DF,si Slovenia,29-290,1994,4.3,1,0,0,3,3,0,5,8,4,0,0,0,26,0,9,0.0,Matches
206,200,Guram Kashia,DF,ge Georgia,37-000,1987,4.0,1,0,0,2,1,0,0,1,4,0,0,0,9,8,7,53.3,Matches
208,201,Milos Kerkez,DF,hu Hungary,20-240,2003,2.6,0,0,0,2,7,0,14,0,2,0,0,0,9,2,3,40.0,Matches
209,202,Joshua Kimmich,DF,de Germany,29-147,1995,4.0,0,0,0,2,0,0,16,5,2,0,0,0,16,1,4,20.0,Matches
210,203,Otar Kiteishvili,MF,ge Georgia,28-100,1996,1.4,0,0,0,1,0,0,0,0,4,0,0,0,8,1,0,100.0,Matches
211,204,Jakub Kiwior,DF,pl Poland,24-140,2000,3.0,0,0,0,1,2,0,2,5,4,0,1,0,6,6,3,66.7,Matches
212,205,László Kleinheisler,MF,hu Hungary,30-087,1994,0.6,1,0,0,1,0,0,0,0,0,0,0,0,2,1,0,100.0,Matches
213,206,Giorgi Kochorashvili,MF,ge Georgia,25-005,1999,4.0,1,0,0,7,10,0,1,5,5,0,0,0,31,1,2,33.3,Matches
214,207,Orkun Kökçü,MF,tr Türkiye,23-188,2000,2.5,2,0,0,4,3,0,3,1,2,0,0,0,17,1,3,25.0,Matches
215,208,Randal Kolo Muani,FW,fr France,25-212,1998,0.6,0,0,0,3,3,0,0,1,0,0,0,0,4,0,1,0.0,Matches
216,209,Yukhym Konoplia,DF,ua Ukraine,24-313,1999,0.8,1,0,0,1,0,0,2,0,0,0,0,0,2,0,1,0.0,Matches
217,210,Ezri Konsa,DF,eng England,26-255,1997,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
218,211,Filip Kostić,DF,rs Serbia,31-246,1992,0.5,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,,Matches
219,212,Jules Koundé,DF,fr France,25-235,1998,4.0,0,0,0,2,2,0,13,0,7,0,0,0,8,1,1,50.0,Matches
220,213,Mateo Kovačić,MF,hr Croatia,30-059,1994,2.5,0,0,0,3,4,0,0,3,6,0,0,0,14,0,0,,Matches
221,214,Matej Kovar,GK,cz Czechia,24-048,2000,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
222,215,Andrej Kramarić,FW,hr Croatia,33-015,1991,2.7,0,0,0,4,3,0,7,1,0,0,0,0,6,2,2,50.0,Matches
223,216,Ladislav Krejčí,DF,cz Czechia,25-075,1999,3.0,1,0,0,6,0,0,2,5,2,0,0,0,11,6,2,75.0,Matches
224,217,Toni Kroos,MF,de Germany,34-182,1990,3.9,0,0,0,2,5,0,29,5,3,0,0,0,28,0,0,,Matches
225,218,Jan Kuchta,FW,cz Czechia,27-178,1997,1.1,0,0,0,1,0,0,0,0,1,0,0,0,4,1,7,12.5,Matches
226,219,Juraj Kucka,MF,sk Slovakia,37-129,1987,3.9,1,0,0,6,4,0,3,2,1,0,0,0,13,7,3,70.0,Matches
227,220,Jasmin Kurtić,FW,si Slovenia,35-176,1989,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
228,221,Khvicha Kvaratskhelia,FW,ge Georgia,23-143,2001,3.8,0,0,0,2,10,0,15,0,3,0,0,0,13,0,6,0.0,Matches
229,222,Nika Kvekveskiri,MF,ge Georgia,32-036,1992,0.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,Matches
230,223,Giorgi Kvilitaia,FW,ge Georgia,30-277,1993,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,,Matches
231,224,Solomon Kvirkvelia,DF,ge Georgia,32-149,1992,2.0,1,0,0,1,1,0,0,1,3,0,0,0,5,5,1,83.3,Matches
232,225,Qazim Laçi,"MF,FW",al Albania,28-167,1996,1.8,0,0,0,1,0,0,4,3,3,0,0,0,7,2,2,50.0,Matches
234,226,Konrad Laimer,"MF,FW",at Austria,27-038,1997,3.0,1,0,0,5,1,0,2,2,1,0,0,0,14,1,2,33.3,Matches
235,227,Ádám Lang,DF,hu Hungary,31-169,1993,0.5,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0.0,Matches
236,228,Aymeric Laporte,DF,es Spain,30-038,1994,2.5,0,0,0,2,1,0,2,3,1,0,0,0,8,4,1,80.0,Matches
237,229,Robin Le Normand,DF,es Spain,27-236,1996,3.5,1,0,0,8,3,0,0,2,2,0,0,1,8,8,6,57.1,Matches
238,230,Rafael Leão,FW,pt Portugal,25-024,1999,2.0,2,0,0,3,5,0,10,1,1,0,0,0,8,2,0,100.0,Matches
239,231,Robert Lewandowski,FW,pl Poland,35-318,1988,1.3,1,0,0,5,3,0,0,0,2,0,0,0,6,1,4,20.0,Matches
240,232,Philipp Lienhart,DF,at Austria,27-359,1996,2.4,1,0,0,4,2,0,0,2,2,0,0,0,7,5,4,55.6,Matches
241,233,Ondřej Lingr,"MF,FW",cz Czechia,25-271,1998,0.9,0,0,0,0,2,1,1,0,2,0,0,0,5,2,1,66.7,Matches
242,234,Dominik Livaković,GK,hr Croatia,29-177,1995,3.0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,,Matches
243,235,Stanislav Lobotka,MF,sk Slovakia,29-222,1994,4.3,0,0,0,1,6,0,0,3,6,0,0,0,25,1,2,33.3,Matches
244,236,Saba Lobzhanidze,FW,ge Georgia,29-199,1994,0.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,Matches
245,237,Luka Lochoshvili,"DF,MF",ge Georgia,26-036,1998,1.9,0,0,0,1,3,0,4,3,3,1,0,0,9,2,3,40.0,Matches
246,238,Fermin López,MF,es Spain,21-054,2003,0.3,0,0,0,1,1,0,0,0,1,0,0,0,2,0,0,,Matches
247,239,Romelu Lukaku,FW,be Belgium,31-052,1993,4.0,0,0,0,2,2,3,0,0,0,0,0,0,8,6,7,46.2,Matches
248,240,Dodi Lukebakio,"FW,DF",be Belgium,26-284,1997,0.7,2,0,0,3,4,0,1,0,1,0,0,0,2,0,0,,Matches
249,241,Saša Lukić,MF,rs Serbia,27-326,1996,2.3,1,0,0,4,1,0,1,3,5,0,0,0,10,1,2,33.3,Matches
250,242,Andriy Lunin,GK,ua Ukraine,25-144,1999,1.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches
251,243,Mike Maignan,GK,fr France,29-001,1995,4.0,0,0,0,0,2,0,0,0,0,0,0,0,6,1,0,100.0,Matches
252,244,Kobbie Mainoo,MF,eng England,19-076,2005,1.5,1,0,0,2,2,0,3,1,1,0,0,0,6,1,2,33.3,Matches
253,245,Lovro Majer,"FW,MF",hr Croatia,26-169,1998,1.6,0,0,0,2,2,0,4,0,3,0,0,0,9,1,1,50.0,Matches
254,246,Donyell Malen,FW,nl Netherlands,25-177,1999,1.6,1,0,0,1,6,0,8,1,0,0,0,1,8,1,0,100.0,Matches
255,247,Ruslan Malinovskyi,MF,ua Ukraine,31-061,1993,0.4,0,0,0,2,0,0,3,1,1,0,0,0,4,0,1,0.0,Matches
256,248,Giorgi Mamardashvili,GK,ge Georgia,23-279,2000,4.0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,100.0,Matches
257,249,Dennis Man,MF,ro Romania,25-313,1998,3.0,0,0,0,1,1,0,8,1,0,0,0,0,10,4,8,33.3,Matches
258,250,Rey Manaj,FW,al Albania,27-131,1997,1.7,0,0,0,5,5,0,0,1,2,0,0,0,2,4,6,40.0,Matches
260,251,Gianluca Mancini,DF,it Italy,28-078,1996,1.0,1,0,0,2,1,0,0,0,0,0,0,0,4,2,1,66.7,Matches
261,252,Orel Mangala,MF,be Belgium,26-108,1998,1.5,2,0,0,4,2,0,0,4,3,0,0,0,4,0,0,,Matches
262,253,Marius Marin,MF,ro Romania,25-309,1998,3.4,2,0,0,7,5,0,1,4,3,0,0,0,11,0,2,0.0,Matches
263,254,Răzvan Marin,MF,ro Romania,28-042,1996,3.9,1,0,0,3,3,1,5,0,2,0,0,0,12,2,4,33.3,Matches
264,255,Ádám Martin,"FW,DF",hu Hungary,29-241,1994,0.5,0,0,0,1,1,0,1,0,0,0,0,0,2,2,4,33.3,Matches
265,256,Mykola Matviyenko,DF,ua Ukraine,28-063,1996,3.0,0,0,0,1,3,0,1,4,3,0,0,0,11,4,2,66.7,Matches
266,257,Kylian Mbappé,FW,fr France,25-197,1998,3.0,1,0,0,1,5,0,5,0,0,0,0,0,4,2,0,100.0,Matches
267,258,John McGinn,"MF,FW",sct Scotland,29-260,1994,2.6,1,0,0,3,9,0,4,1,1,0,0,0,6,3,3,50.0,Matches
268,259,Callum McGregor,MF,sct Scotland,31-020,1993,2.7,0,0,0,2,1,0,1,2,1,0,0,0,8,4,4,50.0,Matches
269,260,Scott McKenna,DF,sct Scotland,27-235,1996,1.5,1,0,0,3,0,0,1,2,0,0,0,0,5,9,3,75.0,Matches
270,261,Kenny McLean,MF,sct Scotland,32-178,1992,0.5,0,0,0,0,2,0,0,0,2,0,0,0,2,1,1,50.0,Matches
271,262,Scott McTominay,MF,sct Scotland,27-209,1996,3.0,2,0,0,3,6,0,9,3,2,0,0,0,6,6,5,54.5,Matches
272,263,Anzor Mekvabishvili,MF,ge Georgia,23-029,2001,2.1,2,0,0,2,1,0,1,5,3,0,0,0,6,0,3,0.0,Matches
273,264,Memphis,FW,nl Netherlands,30-142,1994,3.7,0,0,0,6,7,3,29,0,0,0,0,0,7,2,7,22.2,Matches
274,265,Nuno Mendes,DF,pt Portugal,22-015,2002,3.3,0,0,0,3,4,0,8,3,4,0,0,0,11,10,5,66.7,Matches
275,266,Mikel Merino,MF,es Spain,28-012,1996,1.4,0,0,0,7,0,0,2,2,3,0,0,0,9,4,2,66.7,Matches
276,267,Valentin Mihaila,MF,ro Romania,24-153,2000,1.3,0,0,0,1,1,0,1,2,2,0,0,0,4,1,2,33.3,Matches
277,268,Srđan Mijailović,DF,rs Serbia,30-237,1993,0.8,0,0,0,0,0,0,3,1,1,0,0,0,3,1,1,50.0,Matches
278,269,Georges Mikautadze,FW,ge Georgia,23-247,2000,3.8,0,0,0,1,7,1,4,0,1,0,0,0,6,1,13,7.1,Matches
279,270,Nikola Milenković,DF,rs Serbia,26-266,1997,3.0,1,0,0,4,3,0,0,2,3,0,0,0,12,6,2,75.0,Matches
280,271,Sergej Milinković-Savić,MF,rs Serbia,29-128,1995,1.3,0,0,0,4,0,0,3,1,2,0,0,0,6,3,1,75.0,Matches
281,272,Mario Mitaj,DF,al Albania,20-333,2003,3.0,0,0,0,2,3,0,2,7,4,0,0,0,15,0,6,0.0,Matches
282,273,Aleksandar Mitrović,FW,rs Serbia,29-292,1994,2.7,1,0,0,2,6,1,0,0,0,0,0,0,6,15,19,44.1,Matches
283,274,Maximilian Mittelstädt,DF,de Germany,27-108,1997,2.7,1,0,0,3,9,0,20,1,1,0,0,0,14,0,1,0.0,Matches
284,275,Filip Mladenović,DF,rs Serbia,32-324,1991,1.2,1,0,0,1,3,0,8,2,1,0,0,0,3,0,1,0.0,Matches
286,276,Jan Mlakar,MF,si Slovenia,25-255,1998,3.3,0,0,0,3,1,0,1,1,3,0,0,0,8,1,7,12.5,Matches
287,277,Jakub Moder,MF,pl Poland,25-088,1999,2.0,1,0,0,1,3,0,3,1,2,0,0,0,12,2,3,40.0,Matches
288,278,Luka Modrić,MF,hr Croatia,38-299,1985,2.6,1,0,0,3,2,0,9,1,4,0,0,0,20,1,1,50.0,Matches
289,279,Vasile Mogos,DF,ro Romania,31-247,1992,0.4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,Matches
290,280,Álvaro Morata,FW,es Spain,31-255,1992,2.5,1,0,0,7,2,2,2,0,2,0,0,0,2,6,1,85.7,Matches
291,281,Lewis Morgan,DF,sct Scotland,27-278,1996,0.0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,,Matches
292,282,Ernest Muçi,FW,al Albania,23-107,2001,0.2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,100.0,Matches
293,283,Mykhailo Mudryk,"FW,MF",ua Ukraine,23-181,2001,1.9,0,0,0,0,3,0,10,0,2,0,0,0,8,3,2,60.0,Matches
294,284,Mert Müldür,"DF,MF",tr Türkiye,25-092,1999,2.9,1,0,0,2,3,0,4,3,5,0,0,0,9,2,4,33.3,Matches
295,285,Thomas Müller,FW,de Germany,34-295,1989,0.2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,,Matches
296,286,Jamal Musiala,FW,de Germany,21-129,2003,3.3,0,0,0,3,9,0,2,2,4,0,0,0,12,1,0,100.0,Matches
297,287,Phillipp Mwene,DF,at Austria,30-157,1994,2.2,1,0,0,4,3,0,10,0,4,0,0,0,10,2,1,66.7,Matches
298,288,Vitaliy Mykolenko,DF,ua Ukraine,25-036,1999,0.6,0,0,0,1,0,0,3,0,0,0,0,0,2,0,0,,Matches
299,289,Joakim Mæhle,"DF,MF",dk Denmark,27-045,1997,3.1,2,0,0,4,1,1,10,3,4,0,0,0,11,3,3,50.0,Matches
300,290,Nacho,DF,es Spain,34-168,1990,1.0,0,0,0,0,1,0,0,0,1,0,0,0,6,2,1,66.7,Matches
301,291,Ádám Nagy,MF,hu Hungary,29-017,1995,1.8,0,0,0,0,0,0,1,4,2,0,0,0,7,1,2,33.3,Matches
302,292,Zsolt Nagy,DF,hu Hungary,31-040,1993,0.2,0,0,0,0,1,1,2,0,0,0,0,0,2,1,1,50.0,Matches
303,293,Jesús Navas,DF,es Spain,38-226,1985,1.1,0,0,0,1,0,0,6,1,2,0,0,0,2,0,1,0.0,Matches
304,294,Dan Ndoye,"MF,DF",ch Switzerland,23-253,2000,3.4,1,0,0,9,10,2,4,2,3,0,0,0,17,0,2,0.0,Matches
305,295,Pedro Neto,"DF,FW",pt Portugal,24-117,2000,1.3,1,0,0,1,1,0,11,2,1,0,0,0,8,1,3,25.0,Matches
306,296,Manuel Neuer,GK,de Germany,38-099,1986,4.0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,100.0,Matches
307,297,João Neves,MF,pt Portugal,19-281,2004,0.9,0,0,0,1,1,0,1,5,0,0,0,0,8,0,1,0.0,Matches
308,298,Rúben Neves,MF,pt Portugal,27-113,1997,1.0,1,0,0,3,0,0,8,1,0,0,0,0,5,0,1,0.0,Matches
309,299,Florin Niță,GK,ro Romania,37-001,1987,4.0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,100.0,Matches
310,300,Matheus Nunes,MF,pt Portugal,25-312,1998,0.2,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,,Matches
312,301,Christian Nørgaard,MF,dk Denmark,30-116,1994,0.4,1,0,0,2,0,0,2,0,0,0,0,0,2,2,3,40.0,Matches
313,302,Adam Obert,DF,sk Slovakia,21-316,2002,0.3,0,0,0,1,0,0,1,0,1,0,0,0,2,0,0,,Matches
314,303,Jan Oblak,GK,si Slovenia,31-179,1993,4.3,0,0,0,0,2,0,0,0,0,0,0,0,3,2,0,100.0,Matches
315,304,Darius Olaru,MF,ro Romania,26-123,1998,0.3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,,Matches
316,305,Dani Olmo,"MF,FW",es Spain,26-058,1998,1.7,0,0,0,0,2,0,0,1,2,0,0,0,8,2,0,100.0,Matches
317,306,Amadou Onana,MF,be Belgium,22-323,2001,4.0,0,0,0,1,4,0,0,3,6,0,0,0,9,6,4,60.0,Matches
318,307,Loïs Openda,FW,be Belgium,24-139,2000,0.8,0,0,0,3,0,0,2,1,1,0,0,0,0,1,2,33.3,Matches
319,308,Willi Orban,DF,hu Hungary,31-244,1992,3.0,1,0,0,2,2,1,0,1,7,0,0,0,17,5,7,41.7,Matches
320,309,Mikel Oyarzabal,FW,es Spain,27-074,1997,1.4,0,0,0,2,2,1,2,0,0,0,0,0,7,0,1,0.0,Matches
321,310,Salih Özcan,MF,tr Türkiye,26-175,1998,0.9,1,0,0,4,1,0,0,2,2,0,0,0,3,2,1,66.7,Matches
322,311,João Palhinha,MF,pt Portugal,28-361,1995,2.3,1,0,0,4,5,0,0,5,8,0,0,0,13,8,5,61.5,Matches
323,312,Cole Palmer,"FW,MF",eng England,22-059,2002,0.8,0,0,0,2,1,0,6,0,0,0,0,0,0,0,0,,Matches
324,313,Mario Pašalić,"FW,MF",hr Croatia,29-146,1995,1.3,0,0,0,1,0,0,1,0,0,0,0,0,6,4,2,66.7,Matches
325,314,Strahinja Pavlović,DF,rs Serbia,23-041,2001,3.0,0,0,0,2,4,0,6,4,6,0,0,0,12,7,4,63.6,Matches
326,315,Pedri,MF,es Spain,21-222,2002,2.0,0,0,0,2,3,1,1,1,3,0,0,0,10,0,0,,Matches
327,316,Peter Pekarík,DF,sk Slovakia,37-248,1986,4.2,1,0,0,3,2,3,5,7,0,0,0,0,10,5,6,45.5,Matches
328,317,Lorenzo Pellegrini,"FW,MF",it Italy,28-015,1996,2.4,1,0,0,3,4,0,6,2,0,0,0,0,11,3,0,100.0,Matches
329,318,Patrick Pentz,GK,at Austria,27-184,1997,4.0,0,0,0,0,1,0,0,0,0,0,0,0,8,2,0,100.0,Matches
330,319,Pepe,DF,pt Portugal,41-129,1983,3.2,0,0,0,1,3,1,0,5,3,0,0,0,23,10,2,83.3,Matches
331,320,Danilo Pereira,DF,pt Portugal,32-299,1991,1.0,0,0,0,0,0,0,0,1,0,0,0,0,9,3,1,75.0,Matches
332,321,Ayoze Pérez,FW,es Spain,30-341,1993,0.1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches
333,322,Ivan Perišić,"DF,FW",hr Croatia,35-153,1989,1.5,0,0,0,4,0,0,14,1,0,0,0,0,5,3,2,60.0,Matches
334,323,Bruno Petković,FW,hr Croatia,29-292,1994,1.0,0,0,0,1,5,0,0,0,0,1,0,0,1,5,2,71.4,Matches
335,324,Krzysztof Piątek,FW,pl Poland,29-003,1995,0.7,0,0,0,1,1,0,1,0,1,0,0,0,2,0,5,0.0,Matches
336,325,Jordan Pickford,GK,eng England,30-119,1994,4.3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,,Matches
338,326,Jakub Piotrowski,MF,pl Poland,26-274,1997,0.6,0,0,0,1,1,0,1,0,0,0,0,0,3,1,1,50.0,Matches
339,327,Marin Pongračić,DF,hr Croatia,26-297,1997,2.0,1,0,0,6,2,0,0,2,1,0,0,0,5,0,4,0.0,Matches
340,328,Ryan Porteous,DF,sct Scotland,25-101,1999,0.5,0,1,0,1,0,0,0,0,1,0,1,0,2,1,1,50.0,Matches
341,329,Stefan Posch,DF,at Austria,27-051,1997,4.0,1,0,0,10,3,0,13,6,9,0,0,0,14,6,7,46.2,Matches
342,330,Yussuf Poulsen,"FW,MF",dk Denmark,30-019,1994,0.6,0,0,0,3,0,0,1,0,0,0,0,0,1,5,2,71.4,Matches
343,331,Alexander Prass,DF,at Austria,23-039,2001,1.8,0,0,0,3,2,0,7,2,2,0,0,0,11,1,0,100.0,Matches
344,332,Lukáš Provod,MF,cz Czechia,27-255,1996,2.6,1,0,0,5,5,0,2,0,5,0,0,0,16,4,1,80.0,Matches
345,333,George Pușcaș,FW,ro Romania,28-087,1996,0.4,1,0,0,4,0,0,0,0,0,0,0,0,1,5,5,50.0,Matches
346,334,Leopold Querfeld,DF,at Austria,20-197,2003,0.3,1,0,0,1,0,0,0,1,2,0,0,0,0,1,2,33.3,Matches
347,335,Adrien Rabiot,MF,fr France,29-092,1995,3.4,2,0,0,5,3,0,3,1,3,0,0,0,18,2,0,100.0,Matches
348,336,Bogdan Racovitan,DF,ro Romania,24-028,2000,0.6,0,0,0,1,0,0,0,1,0,0,0,0,0,2,2,50.0,Matches
349,337,Predrag Rajković,GK,rs Serbia,28-247,1995,3.0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,,Matches
350,338,Anthony Ralston,DF,sct Scotland,25-231,1998,2.9,1,0,0,4,3,0,9,1,2,0,0,0,4,7,4,63.6,Matches
351,339,Ylber Ramadani,MF,al Albania,28-083,1996,2.9,0,0,0,1,6,0,2,4,3,0,0,0,15,1,2,33.3,Matches
352,340,Gonçalo Ramos,FW,pt Portugal,23-014,2001,0.3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0.0,Matches
353,341,Giacomo Raspadori,FW,it Italy,24-137,2000,0.9,0,0,0,0,1,0,10,0,1,0,0,0,3,0,0,,Matches
354,342,Andrei Ratiu,DF,ro Romania,26-014,1998,4.0,0,0,0,0,1,0,3,6,5,0,0,0,12,2,5,28.6,Matches
355,343,David Raum,DF,de Germany,26-073,1998,1.2,0,0,0,1,2,0,6,0,2,0,0,0,4,1,0,100.0,Matches
356,344,David Raya,GK,es Spain,28-293,1995,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
357,345,Tijjani Reijnders,MF,nl Netherlands,25-341,1998,3.7,0,0,0,0,3,0,1,1,5,0,0,0,10,0,1,0.0,Matches
358,346,Mateo Retegui,FW,it Italy,25-066,1999,1.7,0,0,0,0,5,1,0,0,1,0,0,0,2,5,5,50.0,Matches
359,347,Declan Rice,MF,eng England,25-172,1999,4.3,0,0,0,4,1,0,4,5,8,0,0,0,25,4,5,44.4,Matches
360,348,Fabian Rieder,MF,ch Switzerland,22-139,2002,1.7,0,0,0,2,5,0,10,0,2,0,0,0,5,0,2,0.0,Matches
361,349,Andrew Robertson,DF,sct Scotland,30-115,1994,3.0,0,0,0,1,2,0,13,1,5,0,0,0,7,2,1,66.7,Matches
362,350,Rodri,MF,es Spain,28-012,1996,2.9,2,0,0,3,4,0,0,0,4,0,1,0,20,6,2,75.0,Matches
364,351,Ricardo Rodríguez,DF,ch Switzerland,31-314,1992,4.0,1,0,0,3,2,0,4,3,4,0,0,0,9,3,5,37.5,Matches
365,352,Taras Romanchuk,MF,pl Poland,32-233,1991,0.6,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,,Matches
366,353,Cristiano Ronaldo,FW,pt Portugal,39-150,1985,4.1,1,0,0,2,1,7,4,0,1,0,0,0,4,5,7,41.7,Matches
367,354,Antonio Rüdiger,DF,de Germany,31-123,1993,4.0,1,0,0,4,3,0,3,2,3,0,0,1,21,4,4,50.0,Matches
368,355,Fabián Ruiz Peña,MF,es Spain,28-092,1996,2.9,0,0,0,2,2,0,7,3,1,0,0,0,29,0,0,,Matches
369,356,Adrian Rus,MF,ro Romania,28-108,1996,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,Matches
370,357,Marcel Sabitzer,"FW,MF",at Austria,30-109,1994,4.0,0,0,0,1,2,1,29,3,1,1,0,0,16,1,6,14.3,Matches
371,358,Bukayo Saka,"FW,DF",eng England,22-303,2001,3.7,0,0,0,4,7,0,10,1,1,0,0,0,13,2,4,33.3,Matches
372,359,Bartosz Salamon,DF,pl Poland,33-064,1991,0.9,0,0,0,1,0,0,0,2,2,0,0,0,2,1,0,100.0,Matches
373,360,William Saliba,DF,fr France,23-102,2001,4.0,0,0,0,2,1,0,0,3,1,0,0,0,15,4,7,36.4,Matches
374,361,Roland Sallai,MF,hu Hungary,27-043,1997,3.0,0,0,0,0,9,2,7,1,2,0,0,0,11,0,5,0.0,Matches
375,362,Lazar Samardzic,MF,rs Serbia,22-131,2002,0.6,0,0,0,0,0,0,4,0,0,0,0,0,2,0,1,0.0,Matches
376,363,Leroy Sané,FW,de Germany,28-175,1996,1.8,0,0,0,1,3,0,2,0,1,0,0,0,8,0,2,0.0,Matches
377,364,Leo Sauer,FW,sk Slovakia,18-201,2005,0.1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,,Matches
378,365,Gianluca Scamacca,FW,it Italy,25-185,1999,2.8,0,0,0,2,2,0,0,2,1,0,0,0,4,1,2,33.3,Matches
379,366,András Schäfer,MF,hu Hungary,25-082,1999,3.0,1,0,0,5,2,0,2,1,3,0,0,0,7,3,5,37.5,Matches
380,367,Fabian Schär,DF,ch Switzerland,32-197,1991,4.0,0,0,0,3,4,0,2,8,4,0,0,0,13,8,11,42.1,Matches
381,368,Patrik Schick,FW,cz Czechia,28-162,1996,1.4,2,0,0,1,0,0,2,1,1,0,0,0,6,7,8,46.7,Matches
382,369,Nico Schlotterbeck,DF,de Germany,24-216,1999,1.3,0,0,0,2,1,0,0,2,1,0,0,0,7,5,1,83.3,Matches
383,370,Kasper Schmeichel,GK,dk Denmark,37-242,1986,4.0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,,Matches
384,371,Romano Schmid,"FW,MF",at Austria,24-159,2000,1.6,1,0,0,5,1,0,7,0,1,0,0,0,15,0,4,0.0,Matches
385,372,Jerdy Schouten,MF,nl Netherlands,27-174,1997,3.6,1,0,0,2,1,0,1,4,2,0,0,0,19,2,0,100.0,Matches
386,373,Ivan Schranz,FW,sk Slovakia,30-295,1993,3.7,1,0,0,6,2,1,4,2,1,0,0,0,9,4,7,36.4,Matches
387,374,Taulant Seferi,FW,al Albania,27-232,1996,1.0,0,0,0,1,2,1,1,2,2,0,0,0,9,1,2,33.3,Matches
388,375,Nicolas Seiwald,MF,at Austria,23-061,2001,4.0,0,0,0,0,0,0,1,6,7,0,0,0,25,1,1,50.0,Matches
390,376,Nélson Semedo,DF,pt Portugal,30-231,1993,0.6,0,0,0,2,0,0,0,0,1,0,0,0,2,0,0,,Matches
391,377,Benjamin Šeško,FW,si Slovenia,21-034,2003,4.0,0,0,0,4,5,1,1,0,1,0,0,0,13,10,13,43.5,Matches
392,378,Petr Ševčík,MF,cz Czechia,30-061,1994,0.2,0,0,0,0,2,0,0,0,0,0,0,0,2,0,1,0.0,Matches
393,379,Stephan El Shaarawy,FW,it Italy,31-251,1992,0.5,1,0,0,2,2,0,0,0,0,0,0,0,0,1,1,50.0,Matches
394,380,Lawrence Shankland,FW,sct Scotland,28-329,1995,0.3,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,100.0,Matches
395,381,Mykola Shaparenko,MF,ua Ukraine,25-274,1998,2.4,0,0,0,3,2,0,3,3,0,0,0,0,7,2,1,66.7,Matches
396,382,Xherdan Shaqiri,MF,ch Switzerland,32-268,1991,0.7,0,0,0,0,0,0,5,0,0,0,0,0,1,1,1,50.0,Matches
397,383,Vincent Sierro,MF,ch Switzerland,28-270,1995,0.4,1,0,0,1,1,0,1,0,0,0,0,0,3,0,2,0.0,Matches
398,384,António Silva,DF,pt Portugal,20-248,2003,0.8,0,0,0,1,1,0,0,0,1,0,1,0,5,2,0,100.0,Matches
399,385,Bernardo Silva,"FW,MF",pt Portugal,29-329,1994,3.3,0,0,0,0,2,1,7,0,3,0,0,0,9,1,1,50.0,Matches
