,Rk,Player,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
0,1,Che Adams,FW,sct Scotland,27-361,1996,2.3,0,2,1,50.0,0.86,0.43,0.0,0.0,14.1,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
1,2,Michel Aebischer,DF,ch Switzerland,27-184,1997,5.3,1,2,1,50.0,0.38,0.19,0.5,1.0,21.7,0,0,0,0.1,0.1,0.05,0.9,0.9,Matches
2,3,Arlind Ajeti,DF,al Albania,30-287,1993,3.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
3,4,Manuel Akanji,DF,ch Switzerland,28-355,1995,5.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
4,5,Samet Akaydın,DF,tr Türkiye,30-117,1994,3.7,1,2,1,50.0,0.54,0.27,0.5,1.0,5.2,0,0,0,0.4,0.4,0.18,0.6,0.6,Matches
5,6,Nathan Aké,DF,nl Netherlands,29-141,1995,4.2,0,2,0,0.0,0.47,0.0,0.0,,10.0,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
6,7,Yunus Akgün,FW,tr Türkiye,24-001,2000,0.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
7,8,Kerem Aktürkoğlu,"FW,MF",tr Türkiye,25-261,1998,1.2,1,6,2,33.3,5.14,1.71,0.17,0.5,12.0,0,0,0,1.4,1.4,0.24,-0.4,-0.4,Matches
8,9,Trent Alexander-Arnold,"MF,DF",eng England,25-275,1998,1.5,0,4,1,25.0,2.69,0.67,0.0,0.0,28.6,1,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
9,10,Denis Alibec,FW,ro Romania,33-185,1991,0.3,0,1,0,0.0,3.1,0.0,0.0,,14.1,0,0,0,0.3,0.3,0.34,-0.3,-0.3,Matches
10,11,Barış Alper Yılmaz,FW,tr Türkiye,24-046,2000,5.0,0,4,3,75.0,0.8,0.6,0.0,0.0,15.5,0,0,0,0.4,0.4,0.1,-0.4,-0.4,Matches
11,12,Sandro Altunashvili,MF,ge Georgia,27-050,1997,0.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
12,13,Zeki Amdouni,"MF,FW",ch Switzerland,23-217,2000,0.6,0,2,1,50.0,3.16,1.58,0.0,0.0,13.5,0,0,0,0.2,0.2,0.1,-0.2,-0.2,Matches
13,14,Joachim Andersen,DF,dk Denmark,28-038,1996,4.0,0,3,0,0.0,0.75,0.0,0.0,,9.0,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
14,15,Robert Andrich,MF,de Germany,29-290,1994,3.5,0,7,2,28.6,1.98,0.57,0.0,0.0,21.3,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
15,16,Waldemar Anton,DF,de Germany,27-354,1996,0.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
16,17,Stuart Armstrong,MF,sct Scotland,32-100,1992,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
17,18,Marko Arnautović,FW,at Austria,35-080,1989,3.1,1,3,2,66.7,0.97,0.65,0.0,0.0,19.4,0,1,1,1.7,0.9,0.29,-0.7,-0.9,Matches
18,19,Jasir Asani,FW,al Albania,29-050,1995,2.3,0,4,1,25.0,1.71,0.43,0.0,0.0,25.7,0,0,0,0.1,0.1,0.01,-0.1,-0.1,Matches
19,20,Kristjan Asllani,MF,al Albania,22-121,2002,3.0,0,8,3,37.5,2.67,1.0,0.0,0.0,23.9,1,0,0,0.6,0.6,0.07,-0.6,-0.6,Matches
20,21,Kaan Ayhan,"MF,DF",tr Türkiye,29-241,1994,4.0,0,3,0,0.0,0.75,0.0,0.0,,15.6,0,0,0,0.3,0.3,0.1,-0.3,-0.3,Matches
21,22,Alex Baena,"MF,FW",es Spain,22-354,2001,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
22,23,Alexander Bah,"DF,MF",dk Denmark,26-212,1997,3.1,0,2,0,0.0,0.64,0.0,0.0,,14.4,0,0,0,0.4,0.4,0.19,-0.4,-0.4,Matches
23,24,Nedim Bajrami,"FW,MF",al Albania,25-131,1999,2.7,1,3,1,33.3,1.1,0.37,0.33,1.0,15.5,0,0,0,0.1,0.1,0.05,0.9,0.9,Matches
24,25,Johan Bakayoko,"FW,DF",be Belgium,21-079,2003,0.5,0,3,0,0.0,5.63,0.0,0.0,,16.0,0,0,0,0.6,0.6,0.22,-0.6,-0.6,Matches
26,26,Jure Balkovec,DF,si Slovenia,29-303,1994,1.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
27,27,Iván Balliu,DF,al Albania,32-189,1992,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
28,28,Nicușor Bancu,DF,ro Romania,31-294,1992,3.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
29,29,Antonín Barák,MF,cz Czechia,29-218,1994,0.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
30,30,Bradley Barcola,FW,fr France,21-310,2002,0.8,0,2,1,50.0,2.4,1.2,0.0,0.0,9.9,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
31,31,Abdülkerim Bardakcı,DF,tr Türkiye,29-305,1994,4.0,0,2,0,0.0,0.5,0.0,0.0,,8.9,0,0,0,0.3,0.3,0.13,-0.3,-0.3,Matches
32,32,Nicolò Barella,MF,it Italy,27-152,1997,3.7,1,1,1,100.0,0.27,0.27,1.0,1.0,21.7,0,0,0,0.1,0.1,0.09,0.9,0.9,Matches
33,33,Alessandro Bastoni,DF,it Italy,25-086,1999,4.0,1,3,2,66.7,0.75,0.5,0.33,0.5,6.4,0,0,0,0.5,0.5,0.17,0.5,0.5,Matches
34,34,Martin Baturina,FW,hr Croatia,21-143,2003,0.1,0,1,1,100.0,12.86,12.86,0.0,0.0,13.3,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
35,35,Christoph Baumgartner,"MF,FW",at Austria,24-342,1999,3.2,1,8,4,50.0,2.49,1.25,0.13,0.25,11.5,0,0,0,1.8,1.8,0.22,-0.8,-0.8,Matches
36,36,Altay Bayındır,GK,tr Türkiye,26-085,1998,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
37,37,Jan Bednarek,DF,pl Poland,28-087,1996,3.0,0,1,0,0.0,0.33,0.0,0.0,,11.5,0,0,0,0.2,0.2,0.16,-0.2,-0.2,Matches
38,38,Maximilian Beier,FW,de Germany,21-265,2002,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
39,39,Jude Bellingham,MF,eng England,21-009,2003,5.4,2,5,3,60.0,0.92,0.55,0.4,0.67,12.0,0,0,0,0.6,0.6,0.12,1.4,1.4,Matches
40,40,László Bénes,MF,sk Slovakia,26-303,1997,0.8,0,1,0,0.0,1.27,0.0,0.0,,16.3,0,0,0,0.1,0.1,0.1,-0.1,-0.1,Matches
41,41,Bartosz Bereszyński,DF,pl Poland,31-362,1992,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
42,42,Steven Bergwijn,FW,nl Netherlands,26-274,1997,1.0,0,1,0,0.0,1.0,0.0,0.0,,31.7,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
43,43,Medon Berisha,MF,al Albania,20-261,2003,0.2,0,1,0,0.0,4.29,0.0,0.0,,26.6,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
44,44,Victor Bernth Kristiansen,"DF,MF",dk Denmark,21-205,2002,1.7,0,1,0,0.0,0.58,0.0,0.0,,20.2,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
45,45,Matúš Bero,"MF,DF",sk Slovakia,28-306,1995,0.5,0,1,0,0.0,2.2,0.0,0.0,,26.6,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
46,46,Jaka Bijol,DF,si Slovenia,25-154,1999,4.3,0,1,0,0.0,0.23,0.0,0.0,,7.1,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
47,47,Veljko Birmančević,DF,rs Serbia,26-125,1998,0.3,0,1,0,0.0,3.46,0.0,0.0,,24.6,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
48,48,Daley Blind,FW,nl Netherlands,34-121,1990,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
49,49,Bendegúz Bolla,DF,hu Hungary,24-229,1999,2.3,0,3,1,33.3,1.32,0.44,0.0,0.0,22.3,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
50,50,Endre Botka,DF,hu Hungary,29-318,1994,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
52,51,Jarrod Bowen,FW,eng England,27-201,1996,0.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
53,52,Róbert Boženík,FW,sk Slovakia,24-233,1999,2.3,0,3,1,33.3,1.3,0.43,0.0,0.0,17.7,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
54,53,Volodymyr Brazhko,MF,ua Ukraine,22-167,2002,2.0,0,2,1,50.0,0.99,0.49,0.0,0.0,30.6,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
55,54,David Brekalo,MF,si Slovenia,25-218,1998,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
56,55,Armando Broja,FW,al Albania,22-302,2001,1.2,0,2,2,100.0,1.67,1.67,0.0,0.0,13.8,0,0,0,0.2,0.2,0.11,-0.2,-0.2,Matches
57,56,Marcelo Brozović,MF,hr Croatia,31-235,1992,2.5,0,3,2,66.7,1.2,0.8,0.0,0.0,24.8,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
58,57,Jacob Bruun Larsen,FW,dk Denmark,25-293,1998,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
59,58,Ante Budimir,FW,hr Croatia,32-352,1991,1.4,0,5,3,60.0,3.69,2.21,0.0,0.0,9.3,0,0,0,0.8,0.5,0.1,-0.8,-0.5,Matches
60,59,Adam Buksa,FW,pl Poland,27-362,1996,1.7,1,3,1,33.3,1.81,0.6,0.33,1.0,12.8,0,0,0,0.2,0.2,0.05,0.8,0.8,Matches
61,60,Andrei Burcă,DF,ro Romania,31-084,1993,4.0,0,1,0,0.0,0.25,0.0,0.0,,9.0,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches
62,61,Riccardo Calafiori,DF,it Italy,22-050,2002,3.0,0,3,0,0.0,1.0,0.0,0.0,,11.1,0,0,0,0.3,0.3,0.1,-0.3,-0.3,Matches
63,62,Hakan Çalhanoğlu,MF,tr Türkiye,30-151,1994,3.9,1,10,2,20.0,2.54,0.51,0.1,0.5,22.4,1,0,0,0.4,0.4,0.04,0.6,0.6,Matches
64,63,Eduardo Camavinga,MF,fr France,21-241,2002,1.6,0,2,0,0.0,1.29,0.0,0.0,,17.2,0,0,0,0.3,0.3,0.14,-0.3,-0.3,Matches
65,64,Andrea Cambiaso,"FW,DF",it Italy,24-139,2000,0.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
66,65,Emre Can,MF,de Germany,30-178,1994,1.1,1,1,1,100.0,0.88,0.88,1.0,1.0,23.3,0,0,0,0.0,0.0,0.04,1.0,1.0,Matches
67,66,João Cancelo,"DF,MF",pt Portugal,30-042,1994,3.8,0,2,0,0.0,0.52,0.0,0.0,,15.6,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
68,67,Yannick Carrasco,"DF,FW",be Belgium,30-308,1993,2.4,0,6,1,16.7,2.48,0.41,0.0,0.0,17.0,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
69,68,Dani Carvajal,DF,es Spain,32-179,1992,4.2,1,2,2,100.0,0.47,0.47,0.5,0.5,7.4,0,0,0,0.5,0.5,0.26,0.5,0.5,Matches
70,69,Timothy Castagne,DF,be Belgium,28-216,1995,4.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
71,70,Koen Casteels,GK,be Belgium,32-013,1992,4.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
72,71,Žan Celar,"FW,MF",si Slovenia,25-116,1999,0.7,0,1,0,0.0,1.34,0.0,0.0,,28.4,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
73,72,Zeki Çelik,"DF,MF",tr Türkiye,27-142,1997,1.2,0,1,0,0.0,0.86,0.0,0.0,,11.2,0,0,0,0.2,0.2,0.2,-0.2,-0.2,Matches
74,73,Václav Černý,MF,cz Czechia,26-265,1997,0.6,0,2,1,50.0,3.33,1.67,0.0,0.0,14.0,0,0,0,0.5,0.5,0.24,-0.5,-0.5,Matches
75,74,Giorgi Chakvetadze,"MF,FW",ge Georgia,24-314,1999,2.7,0,2,0,0.0,0.74,0.0,0.0,,20.0,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
76,75,Federico Chiesa,"FW,MF",it Italy,26-257,1997,2.9,0,8,0,0.0,2.74,0.0,0.0,,19.6,0,0,0,0.2,0.2,0.02,-0.2,-0.2,Matches
78,76,Tomáš Chorý,MF,cz Czechia,29-164,1995,0.4,0,1,0,0.0,2.5,0.0,0.0,,4.9,0,0,0,0.4,0.4,0.4,-0.4,-0.4,Matches
79,77,Andreas Christensen,DF,dk Denmark,28-089,1996,3.9,0,4,0,0.0,1.03,0.0,0.0,,17.6,0,0,0,0.5,0.5,0.11,-0.5,-0.5,Matches
80,78,Ryan Christie,"MF,FW",sct Scotland,29-137,1995,1.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
81,79,Mojmir Chytil,FW,cz Czechia,25-070,1999,1.2,0,2,0,0.0,1.68,0.0,0.0,,11.1,0,0,0,0.2,0.2,0.09,-0.2,-0.2,Matches
82,80,Alexandru Cicâldău,MF,ro Romania,27-000,1997,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
83,81,Florinel Coman,MF,ro Romania,26-089,1998,1.3,0,2,1,50.0,1.53,0.76,0.0,0.0,24.2,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
