,Rk,Player,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
160,155,Kamil Grosicki,MF,pl Poland,36-030,1988,0.2,0,1,0,0.0,5.63,0.0,0.0,,7.2,0,0,0,0.3,0.3,0.29,-0.3,-0.3,Matches
161,156,Nemanja Gudelj,MF,rs Serbia,32-235,1991,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
162,157,Marc Guéhi,DF,eng England,23-361,2000,4.3,0,1,0,0.0,0.23,0.0,0.0,,9.2,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
163,158,Péter Gulácsi,GK,hu Hungary,34-063,1990,3.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
164,159,Arda Güler,"FW,MF",tr Türkiye,19-134,2005,3.8,1,9,1,11.1,2.38,0.26,0.11,1.0,32.5,1,0,0,0.3,0.3,0.03,0.7,0.7,Matches
165,160,İlkay Gündoğan,MF,de Germany,33-258,1990,4.3,1,7,2,28.6,1.64,0.47,0.14,0.5,14.4,0,0,0,0.8,0.8,0.11,0.2,0.2,Matches
166,161,Angus Gunn,GK,sct Scotland,28-168,1996,3.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
167,162,Mert Günok,GK,tr Türkiye,35-129,1989,4.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
168,163,Joško Gvardiol,DF,hr Croatia,22-167,2002,3.0,0,2,0,0.0,0.67,0.0,0.0,,15.4,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
169,164,Giorgi Gwelesiani,DF,ge Georgia,33-064,1991,1.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
170,165,Norbert Gyömbér,DF,sk Slovakia,32-005,1992,0.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
171,166,Ianis Hagi,MF,ro Romania,25-260,1998,2.1,0,2,0,0.0,0.96,0.0,0.0,,21.8,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
172,167,Dávid Hancko,DF,sk Slovakia,26-208,1997,4.1,0,4,2,50.0,0.98,0.49,0.0,0.0,15.4,1,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
173,168,Grant Hanley,DF,sct Scotland,32-231,1991,2.5,0,1,0,0.0,0.4,0.0,0.0,,5.6,0,0,0,0.2,0.2,0.23,-0.2,-0.2,Matches
174,169,Lukáš Haraslín,FW,sk Slovakia,28-043,1996,2.9,0,8,4,50.0,2.73,1.36,0.0,0.0,17.6,0,0,0,0.5,0.5,0.06,-0.5,-0.5,Matches
175,170,Kai Havertz,"FW,MF",de Germany,25-027,1999,4.3,2,17,9,52.9,3.93,2.08,0.0,0.0,14.6,1,2,2,4.1,2.5,0.15,-2.1,-2.5,Matches
176,171,Jack Hendry,DF,sct Scotland,29-062,1995,2.9,0,1,0,0.0,0.34,0.0,0.0,,13.1,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
177,172,Benjamin Henrichs,DF,de Germany,27-136,1997,0.1,0,1,0,0.0,9.0,0.0,0.0,,25.2,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
178,173,Theo Hernández,DF,fr France,26-276,1997,5.3,0,3,2,66.7,0.56,0.37,0.0,0.0,16.0,0,0,0,0.3,0.3,0.08,-0.3,-0.3,Matches
179,174,Morten Hjulmand,MF,dk Denmark,25-013,1999,2.7,1,5,2,40.0,1.84,0.73,0.2,0.5,29.3,0,0,0,0.1,0.1,0.03,0.9,0.9,Matches
180,175,Adam Hložek,MF,cz Czechia,21-349,2002,1.2,0,4,4,100.0,3.33,3.33,0.0,0.0,16.0,0,0,0,0.5,0.5,0.14,-0.5,-0.5,Matches
182,176,Tomáš Holeš,DF,cz Czechia,31-099,1993,3.0,0,1,0,0.0,0.33,0.0,0.0,,32.1,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
183,177,Arbër Hoxha,"FW,MF",al Albania,25-276,1998,0.6,0,2,1,50.0,3.6,1.8,0.0,0.0,18.5,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
