,Player,Position,BTklInt,CTkl,BClr,BSh,BPass,TCmp,LCmp,LAtt,LPrgP,LFTP,CaPrgC,Def_3rd,Mid_3rd,Att_3rd,Live,PrgC,PrgP,90s,ADWonp,ADWon
163,Koffi Djidji,centre-back,0.0446096654275093,0.04014869888475837,0.053531598513011154,0.05204460966542751,0.05576208178438662,0.04215253923556919,0.02888189877037461,0.03891965708216372,0.057853159851301114,0.07527881040892194,0.04089219330855019,0.04425748385834475,0.040924519153062874,0.12546468401486988,0.044916567056555924,0.04089219330855019,0.23141263940520446,0.0,0.0036024987544552183,0.05241635687732342
164,Alexander Djiku,centre-back,0.05723905723905724,0.052525252525252523,0.10168350168350168,0.06397306397306397,0.08754208754208755,0.03713211347626424,0.04921004921004921,0.06246134817563389,0.08585858585858587,0.0984848484848485,0.01346801346801347,0.046677299308878255,0.0409310496267018,0.09343434343434344,0.04541044203367186,0.01346801346801347,0.3434343434343435,0.0,0.004878178106524564,0.09292929292929293
165,Berat Djimsiti,centre-back,0.049999999999999996,0.051,0.07400000000000001,0.034999999999999996,0.05,0.04326058161237882,0.026153846153846156,0.03336734693877551,0.042187499999999996,0.06,0.034999999999999996,0.05107894736842106,0.03828260869565217,0.12,0.046590353677272475,0.034999999999999996,0.16874999999999998,0.0,0.005841584158415842,0.0885
166,Danilho Doekhi,centre-back,0.038908246225319396,0.03414634146341463,0.07560975609756097,0.04878048780487805,0.06097560975609756,0.027879389516997102,0.02032520325203252,0.031856645097063215,0.05564024390243902,0.07012195121951219,0.06097560975609756,0.03613607188703465,0.02932131495227995,0.15091463414634146,0.03537296941312789,0.06097560975609756,0.22256097560975607,0.0,0.0045084996304508495,0.07439024390243902
167,Carlos Dominguez,centre-back,0.011904761904761904,0.05,0.11666666666666668,0.08333333333333334,0.0,0.021153190037529856,0.012820512820512822,0.025510204081632654,0.03125,0.020833333333333336,0.0,0.042105263157894736,0.016304347826086956,0.03125,0.027574568351336936,0.0,0.125,0.0,0.16666666666666669,0.025
168,Gabriel Dos Santos,centre-back,0.03015454202789295,0.02849604221635884,0.06596306068601583,0.06860158311345647,0.06068601583113457,0.0516339569210259,0.030444489547391925,0.03973937860104464,0.07569261213720316,0.11279683377308708,0.0474934036939314,0.048034995139563955,0.048835608580933804,0.21273087071240107,0.05275333069795443,0.0474934036939314,0.30277044854881263,0.0,0.0029983209402734473,0.07915567282321899
169,Ismaël Doukouré,centre-back,0.04201680672268908,0.047058823529411764,0.042352941176470586,0.03137254901960784,0.07058823529411766,0.032383812697816795,0.030467571644042235,0.04225690276110444,0.07279411764705881,0.09705882352941177,0.10588235294117648,0.02891640866873065,0.040102301790281326,0.1588235294117647,0.03782699964553137,0.10588235294117648,0.29117647058823526,0.0,0.0034462269756387405,0.03411764705882352
170,Domingos Duarte,centre-back,0.03147699757869249,0.038644067796610164,0.09830508474576272,0.07796610169491526,0.02033898305084746,0.022807116011229363,0.03389830508474576,0.046696644759598754,0.04004237288135593,0.04406779661016949,0.02033898305084746,0.03623550401427297,0.02378776713338246,0.04449152542372881,0.03039012207226977,0.02033898305084746,0.16016949152542373,0.0,0.004138234646709223,0.04779661016949152
171,Shane Duffy,centre-back,0.0,0.0,0.0,0.0,0.0,0.07267144319344933,0.07692307692307693,0.12244897959183673,0.0,0.0,0.0,0.10263157894736842,0.05869565217391304,0.1875,0.07926096335862064,0.0,0.0,0.0,0.6666666666666665,0.3
172,Lewis Dunk,centre-back,0.025396825396825393,0.03,0.045,0.07500000000000001,0.02777777777777778,0.07345431860905399,0.05961538461538462,0.0727891156462585,0.08229166666666667,0.12361111111111112,0.052777777777777785,0.07302631578947369,0.06202898550724637,0.10104166666666667,0.06926425362659173,0.052777777777777785,0.32916666666666666,0.0,0.003285024154589372,0.056666666666666664
