,Player,Position,90s,xAG,NPxG,LPPA,LPrgP,LKP,LxA,LFTP,CaCPA,Att_Pen,Mid_3rd,Att_3rd,Live,npxG/Sh,SSh,SSoT,ADWon,Off
46,Lucas Boyé,centre-forward,27.4,0.06350364963503649,0.1771146414770288,0.16058394160583944,0.22992700729927007,0.10583941605839418,0.05839416058394161,0.12773722627737227,0.09124087591240876,0.18143899895724713,0.7116788321167884,0.33284671532846716,0.49401459854014607,0.1771146414770288,0.2591240875912409,0.07299270072992702,0.07153284671532847,0.10218978102189782
47,Martin Braithwaite,centre-forward,27.3,0.030769230769230767,0.21805645335057103,0.09523809523809523,0.1978021978021978,0.04395604395604396,0.040293040293040296,0.09523809523809523,0.040293040293040296,0.11773940345368915,0.3504273504273504,0.2652014652014652,0.24791208791208788,0.21805645335057103,0.21245421245421248,0.09157509157509158,0.07032967032967033,0.09523809523809523
48,Armando Broja,centre-forward,3.3,0.018181818181818184,0.15686274509803927,0.06060606060606061,0.12121212121212122,0.030303030303030304,0.030303030303030307,0.030303030303030304,0.15151515151515152,0.20779220779220778,0.4141414141414142,0.3818181818181819,0.3733333333333334,0.15686274509803927,0.18181818181818185,0.15151515151515152,0.1090909090909091,0.18181818181818185
49,Moritz Broschinski,centre-forward,2.4,0.0,0.3504901960784315,0.0,0.125,0.04166666666666667,0.04166666666666667,0.08333333333333334,0.20833333333333337,0.30357142857142855,0.4583333333333333,0.35833333333333334,0.42666666666666675,0.3504901960784315,0.20833333333333337,0.16666666666666669,0.13333333333333333,0.0
50,Ante Budimir,centre-forward,20.0,0.020999999999999998,0.24911764705882358,0.03,0.11499999999999999,0.05,0.03,0.065,0.05,0.25285714285714284,0.4233333333333333,0.281,0.2904,0.24911764705882358,0.29,0.10500000000000001,0.19399999999999998,0.12
51,Adam Buksa,centre-forward,1.1,0.0,0.0,0.0,0.2727272727272727,0.09090909090909091,0.0,0.2727272727272727,0.09090909090909091,0.27272727272727265,0.5757575757575757,0.2727272727272727,0.349090909090909,0.0,0.0,0.0,0.03636363636363636,0.0
52,Marius Bülter,second striker,28.9,0.09550173010380622,0.13657642987991048,0.3044982698961938,0.29757785467128034,0.13494809688581316,0.15916955017301038,0.1453287197231834,0.08304498269896195,0.20168067226890754,0.48327566320645904,0.4048442906574395,0.4561937716262976,0.13657642987991048,0.22145328719723187,0.0795847750865052,0.059515570934256065,0.04844290657439447
53,Jonathan Burkardt,centre-forward,5.9,0.11186440677966102,0.24127617148554342,0.3050847457627119,0.23728813559322035,0.11864406779661017,0.2711864406779661,0.05084745762711865,0.1016949152542373,0.26876513317191275,0.36723163841807904,0.33559322033898303,0.3254237288135593,0.24127617148554342,0.3389830508474576,0.1016949152542373,0.05423728813559322,0.1016949152542373
54,Oliver Burke,centre-forward,3.0,0.05999999999999999,0.21568627450980396,0.2,0.23333333333333336,0.13333333333333333,0.03333333333333333,0.13333333333333333,0.16666666666666669,0.18571428571428567,0.45555555555555555,0.48666666666666664,0.4693333333333334,0.21568627450980396,0.26666666666666666,0.16666666666666669,0.08,0.2
55,Dominic Calvert-Lewin,centre-forward,12.9,0.037209302325581395,0.2507979936160511,0.06201550387596899,0.11627906976744187,0.06976744186046512,0.06201550387596899,0.10077519379844962,0.07751937984496124,0.19601328903654483,0.3695090439276486,0.31007751937984496,0.30511627906976746,0.2507979936160511,0.23255813953488375,0.06976744186046512,0.2046511627906977,0.29457364341085274
