,Player,Position,90s,TCmp,LFTP,LPrgP,Def_3rd,Mid_3rd,Att_3rd,Live,TOSucc,CaPrgC,PrgR,BTklInt,CTkl%,BClr,ADWon,ADWonp
228,Rodri,defensive midfield,32.3,0.4959023857220907,0.5220940050661413,0.4591216603600505,0.27263559510910945,0.4621706761754466,0.45820433436532515,0.4823824266548725,0.07739938080495357,0.23529411764705885,0.08591331269349846,0.04489164086687307,0.00145692952103442,0.006191950464396286,0.006191950464396286,0.0004422821760283061
229,Rodri,defensive midfield,32.3,0.4959023857220907,0.5220940050661413,0.4591216603600505,0.045954158382413623,0.10968727036175929,0.3390092879256967,0.1496388028895769,0.08978328173374614,0.17647058823529416,0.24148606811145512,0.15479876160990713,0.0015479876160990713,0.13312693498452013,0.22291021671826627,0.0021433674684448677
230,Rodri,defensive midfield,32.3,0.4959023857220907,0.5220940050661413,0.4591216603600505,0.045954158382413623,0.10968727036175929,0.3390092879256967,0.1496388028895769,0.08978328173374614,0.17647058823529416,0.24148606811145512,0.15479876160990713,0.0015479876160990713,0.13312693498452013,0.006191950464396286,0.0004422821760283061
231,Rodri,defensive midfield,32.3,0.4959023857220907,0.5220940050661413,0.4591216603600505,0.045954158382413623,0.10968727036175929,0.3390092879256967,0.1496388028895769,0.08978328173374614,0.17647058823529416,0.24148606811145512,0.04489164086687307,0.00145692952103442,0.006191950464396286,0.22291021671826627,0.0021433674684448677
232,Rodri,defensive midfield,32.3,0.4959023857220907,0.5220940050661413,0.4591216603600505,0.045954158382413623,0.10968727036175929,0.3390092879256967,0.1496388028895769,0.08978328173374614,0.17647058823529416,0.24148606811145512,0.04489164086687307,0.00145692952103442,0.006191950464396286,0.006191950464396286,0.0004422821760283061
233,Rodri,defensive midfield,32.3,0.13330905117464945,0.10244863495637492,0.1801169590643275,0.27263559510910945,0.4621706761754466,0.45820433436532515,0.4823824266548725,0.07739938080495357,0.23529411764705885,0.08591331269349846,0.15479876160990713,0.0015479876160990713,0.13312693498452013,0.22291021671826627,0.0021433674684448677
234,Rodri,defensive midfield,32.3,0.13330905117464945,0.10244863495637492,0.1801169590643275,0.27263559510910945,0.4621706761754466,0.45820433436532515,0.4823824266548725,0.07739938080495357,0.23529411764705885,0.08591331269349846,0.15479876160990713,0.0015479876160990713,0.13312693498452013,0.006191950464396286,0.0004422821760283061
235,Rodri,defensive midfield,32.3,0.13330905117464945,0.10244863495637492,0.1801169590643275,0.27263559510910945,0.4621706761754466,0.45820433436532515,0.4823824266548725,0.07739938080495357,0.23529411764705885,0.08591331269349846,0.04489164086687307,0.00145692952103442,0.006191950464396286,0.22291021671826627,0.0021433674684448677
236,Rodri,defensive midfield,32.3,0.13330905117464945,0.10244863495637492,0.1801169590643275,0.27263559510910945,0.4621706761754466,0.45820433436532515,0.4823824266548725,0.07739938080495357,0.23529411764705885,0.08591331269349846,0.04489164086687307,0.00145692952103442,0.006191950464396286,0.006191950464396286,0.0004422821760283061
237,Rodri,defensive midfield,32.3,0.13330905117464945,0.10244863495637492,0.1801169590643275,0.045954158382413623,0.10968727036175929,0.3390092879256967,0.1496388028895769,0.08978328173374614,0.17647058823529416,0.24148606811145512,0.15479876160990713,0.0015479876160990713,0.13312693498452013,0.22291021671826627,0.0021433674684448677
238,Rodri,defensive midfield,32.3,0.13330905117464945,0.10244863495637492,0.1801169590643275,0.045954158382413623,0.10968727036175929,0.3390092879256967,0.1496388028895769,0.08978328173374614,0.17647058823529416,0.24148606811145512,0.15479876160990713,0.0015479876160990713,0.13312693498452013,0.006191950464396286,0.0004422821760283061
239,Rodri,defensive midfield,32.3,0.13330905117464945,0.10244863495637492,0.1801169590643275,0.045954158382413623,0.10968727036175929,0.3390092879256967,0.1496388028895769,0.08978328173374614,0.17647058823529416,0.24148606811145512,0.04489164086687307,0.00145692952103442,0.006191950464396286,0.22291021671826627,0.0021433674684448677
240,Rodri,defensive midfield,32.3,0.13330905117464945,0.10244863495637492,0.1801169590643275,0.045954158382413623,0.10968727036175929,0.3390092879256967,0.1496388028895769,0.08978328173374614,0.17647058823529416,0.24148606811145512,0.04489164086687307,0.00145692952103442,0.006191950464396286,0.006191950464396286,0.0004422821760283061
241,Rodri,defensive midfield,17.8,0.8998678122934567,0.9473953013278856,0.8331252600915522,0.4947263888777659,0.8386580247453329,0.8314606741573034,0.875334403424291,0.14044943820224717,0.42696629213483145,0.15589887640449437,0.28089887640449435,0.0028089887640449437,0.24157303370786518,0.40449438202247195,0.0038893690579083835
242,Rodri,defensive midfield,17.8,0.8998678122934567,0.9473953013278856,0.8331252600915522,0.4947263888777659,0.8386580247453329,0.8314606741573034,0.875334403424291,0.14044943820224717,0.42696629213483145,0.15589887640449437,0.28089887640449435,0.0028089887640449437,0.24157303370786518,0.011235955056179775,0.0008025682182985553
243,Rodri,defensive midfield,17.8,0.8998678122934567,0.9473953013278856,0.8331252600915522,0.4947263888777659,0.8386580247453329,0.8314606741573034,0.875334403424291,0.14044943820224717,0.42696629213483145,0.15589887640449437,0.08146067415730338,0.0026437541308658294,0.011235955056179775,0.40449438202247195,0.0038893690579083835
244,Rodri,defensive midfield,17.8,0.8998678122934567,0.9473953013278856,0.8331252600915522,0.4947263888777659,0.8386580247453329,0.8314606741573034,0.875334403424291,0.14044943820224717,0.42696629213483145,0.15589887640449437,0.08146067415730338,0.0026437541308658294,0.011235955056179775,0.011235955056179775,0.0008025682182985553
245,Rodri,defensive midfield,17.8,0.8998678122934567,0.9473953013278856,0.8331252600915522,0.0833887256040427,0.19903926026319238,0.6151685393258427,0.27153558052434457,0.16292134831460675,0.3202247191011236,0.43820224719101125,0.28089887640449435,0.0028089887640449437,0.24157303370786518,0.40449438202247195,0.0038893690579083835
246,Rodri,defensive midfield,17.8,0.8998678122934567,0.9473953013278856,0.8331252600915522,0.0833887256040427,0.19903926026319238,0.6151685393258427,0.27153558052434457,0.16292134831460675,0.3202247191011236,0.43820224719101125,0.28089887640449435,0.0028089887640449437,0.24157303370786518,0.011235955056179775,0.0008025682182985553
247,Rodri,defensive midfield,17.8,0.8998678122934567,0.9473953013278856,0.8331252600915522,0.0833887256040427,0.19903926026319238,0.6151685393258427,0.27153558052434457,0.16292134831460675,0.3202247191011236,0.43820224719101125,0.08146067415730338,0.0026437541308658294,0.011235955056179775,0.40449438202247195,0.0038893690579083835
248,Rodri,defensive midfield,17.8,0.8998678122934567,0.9473953013278856,0.8331252600915522,0.0833887256040427,0.19903926026319238,0.6151685393258427,0.27153558052434457,0.16292134831460675,0.3202247191011236,0.43820224719101125,0.08146067415730338,0.0026437541308658294,0.011235955056179775,0.011235955056179775,0.0008025682182985553
249,Rodri,defensive midfield,17.8,0.2419035029742234,0.18590398365679267,0.3268414481897628,0.4947263888777659,0.8386580247453329,0.8314606741573034,0.875334403424291,0.14044943820224717,0.42696629213483145,0.15589887640449437,0.28089887640449435,0.0028089887640449437,0.24157303370786518,0.40449438202247195,0.0038893690579083835
250,Rodri,defensive midfield,17.8,0.2419035029742234,0.18590398365679267,0.3268414481897628,0.4947263888777659,0.8386580247453329,0.8314606741573034,0.875334403424291,0.14044943820224717,0.42696629213483145,0.15589887640449437,0.28089887640449435,0.0028089887640449437,0.24157303370786518,0.011235955056179775,0.0008025682182985553
251,Rodri,defensive midfield,17.8,0.2419035029742234,0.18590398365679267,0.3268414481897628,0.4947263888777659,0.8386580247453329,0.8314606741573034,0.875334403424291,0.14044943820224717,0.42696629213483145,0.15589887640449437,0.08146067415730338,0.0026437541308658294,0.011235955056179775,0.40449438202247195,0.0038893690579083835
252,Rodri,defensive midfield,17.8,0.2419035029742234,0.18590398365679267,0.3268414481897628,0.4947263888777659,0.8386580247453329,0.8314606741573034,0.875334403424291,0.14044943820224717,0.42696629213483145,0.15589887640449437,0.08146067415730338,0.0026437541308658294,0.011235955056179775,0.011235955056179775,0.0008025682182985553
253,Rodri,defensive midfield,17.8,0.2419035029742234,0.18590398365679267,0.3268414481897628,0.0833887256040427,0.19903926026319238,0.6151685393258427,0.27153558052434457,0.16292134831460675,0.3202247191011236,0.43820224719101125,0.28089887640449435,0.0028089887640449437,0.24157303370786518,0.40449438202247195,0.0038893690579083835
254,Rodri,defensive midfield,17.8,0.2419035029742234,0.18590398365679267,0.3268414481897628,0.0833887256040427,0.19903926026319238,0.6151685393258427,0.27153558052434457,0.16292134831460675,0.3202247191011236,0.43820224719101125,0.28089887640449435,0.0028089887640449437,0.24157303370786518,0.011235955056179775,0.0008025682182985553
