,Player,Position,90s,PSxG,PSxG/SoT,PSxG-GA,LCmp,LAtt,PaAtt,PaThr,PaAvgLen,GKAtt,GKAvgLen,COpp,CStp,SwOPA,SoTA,Saves,Savep,CS,PKsv
122,Jan Oblak,goalkeeper,27.7,0.27262542014191465,0.003898916967509026,0.8346819370098345,0.21660649819494587,0.39069052922651504,0.3022176379577102,0.13838748495788208,0.0050710081613732465,0.4938628158844765,0.0061505548870169815,0.430806257521059,0.36101083032490977,0.03429602888086643,0.09506618531889291,0.07099879663056559,0.0026961568339350177,0.11913357400722022,0.0
123,Guillermo Ochoa,goalkeeper,20.0,0.6,0.006,0.836896551724138,0.3375,0.622127659574468,0.39714285714285713,0.075,0.007957198443579767,0.6,0.008759259259259258,0.5183333333333333,0.22000000000000003,0.025,0.175,0.11833333333333333,0.003380952381,0.06,0.15000000000000002
124,Robin Olsen,goalkeeper,3.1,0.6896551724137931,0.03741935483870967,0.767519466073415,0.24193548387096775,0.5787234042553191,0.4654377880184331,0.1935483870967742,0.04719467804694364,0.5419354838709677,0.05591397849462366,0.48387096774193544,0.6451612903225806,0.04838709677419355,0.2043010752688172,0.11827956989247311,0.018675721561290323,0.0967741935483871,0.0
125,Jonas Omlin,goalkeeper,27.3,0.5330301882026021,0.00835164835164835,0.8283440697233801,0.20146520146520147,0.35825734549138805,0.5065410779696494,0.18437118437118435,0.004304385627342825,0.4065934065934066,0.00560303893637227,0.5238095238095237,0.42490842490842495,0.058608058608058615,0.1575091575091575,0.10500610500610501,0.002442002442124542,0.07692307692307691,0.10989010989010989
126,André Onana,goalkeeper,24.0,0.27729885057471265,0.0034999999999999996,0.8159482758620691,0.21875,0.325531914893617,0.5208333333333334,0.15972222222222224,0.004798962386511025,0.37999999999999995,0.005462962962962963,0.39305555555555555,0.25,0.020833333333333336,0.11527777777777778,0.08472222222222221,0.003062248995833333,0.09999999999999999,0.0
127,Stefan Ortega,goalkeeper,3.0,0.47126436781609193,0.036000000000000004,0.9344827586206897,0.18333333333333335,0.23148936170212764,0.738095238095238,0.17777777777777776,0.030998702983138778,0.24,0.025061728395061728,0.28888888888888886,0.13333333333333333,0.11666666666666668,0.16666666666666666,0.15555555555555556,0.03111111111,0.19999999999999998,0.0
128,Fernando Pacheco,goalkeeper,17.0,0.5720081135902637,0.013411764705882352,0.7862068965517243,0.3823529411764706,0.48340425531914893,0.3722689075630252,0.12549019607843137,0.00874341954680705,0.49764705882352944,0.009259259259259259,0.5058823529411764,0.4,0.061764705882352944,0.18235294117647058,0.11176470588235295,0.0036053130929411766,0.052941176470588235,0.1764705882352941
129,Rui Patrício,goalkeeper,35.0,0.27192118226600986,0.002628571428571429,0.8086699507389163,0.19285714285714287,0.27117325227963524,0.26285714285714284,0.11523809523809524,0.0037354085603112843,0.41142857142857137,0.0036825396825396826,0.38285714285714284,0.18285714285714286,0.03571428571428572,0.10285714285714286,0.06952380952380953,0.0019312169311428572,0.11142857142857143,0.08571428571428572
130,Jiří Pavlenka,goalkeeper,32.3,0.5540728087968401,0.003591331269349846,0.8048468026048896,0.30650154798761614,0.4452407614781635,0.3949579831932773,0.1568627450980392,0.004372914433026949,0.518266253869969,0.004919160646714826,0.4963880288957689,0.27244582043343657,0.05882352941176471,0.1754385964912281,0.11351909184726523,0.0020032780913312696,0.037151702786377715,0.09287925696594429
131,Gianluca Pegolo,goalkeeper,2.0,0.5517241379310346,0.07600000000000001,0.8379310344827587,0.225,0.2604255319148936,0.4357142857142857,0.16666666666666666,0.05778210116731518,0.48,0.05240740740740741,0.4666666666666667,0.4,0.0,0.1,0.05,0.025,0.0,0.0
132,Iñaki Peña,goalkeeper,0.8,0.603448275862069,0.18,0.7500000000000001,0.0625,0.10851063829787233,0.4107142857142857,0.20833333333333334,0.122568093385214,0.3,0.10555555555555556,0.2916666666666667,0.0,0.125,0.16666666666666666,0.08333333333333333,0.0625,0.0,0.0
133,Patrick Pentz,goalkeeper,7.0,0.5862068965517242,0.019428571428571434,0.8113300492610839,0.20714285714285718,0.38857142857142857,0.31020408163265306,0.11904761904761905,0.02017787659811006,0.5057142857142857,0.02047619047619048,0.49047619047619045,0.45714285714285713,0.02857142857142857,0.1380952380952381,0.07619047619047618,0.00788177339857143,0.0,0.0
