,Player,Position,PTCrs,PTTB,LxA,LKP,LFTP,LPPA,LPrgP,Att_Pen,TOAtt,TOSucc,CaPrgC,CaCPA,PrgR,90s,npxG,npxG/Sh,SSh,SSoT,Off
411,Marquinhos,right winger,0.0014486754966887417,0.013245033112582783,0.014348785871964684,0.03278145695364239,0.34437086092715236,0.004966887417218544,0.16390728476821192,0.05261221486387049,0.002207505518763797,0.0,0.006937874487543363,0.009933774834437087,0.016556291390728478,30.2,0.017384105960264903,0.017384105960264903,0.05463576158940398,0.013245033112582783,0.0
412,Marquinhos,right winger,0.0014486754966887417,0.013245033112582783,0.014348785871964684,0.03278145695364239,0.34437086092715236,0.004966887417218544,0.16390728476821192,0.05261221486387049,0.002207505518763797,0.0,0.006937874487543363,0.009933774834437087,0.016556291390728478,30.2,0.017384105960264903,0.017384105960264903,0.05463576158940398,0.013245033112582783,0.0
413,Ander Martin,right winger,0.35,0.0,0.0,0.44000000000000006,0.4,0.0,0.30000000000000004,0.0,0.06666666666666667,0.15,0.10476190476190476,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
414,Gabriel Martinelli,left winger,0.15947580645161288,0.025806451612903226,0.07526881720430108,0.20935483870967744,0.1064516129032258,0.06935483870967743,0.15161290322580645,0.2930704898446834,0.14193548387096774,0.14274193548387096,0.20952380952380953,0.33870967741935487,0.3763440860215054,31.0,0.07500000000000001,0.07500000000000001,0.23360215053763442,0.09677419354838711,0.025806451612903226
415,Gelson Martins,right winger,0.05756578947368421,0.0,0.03508771929824562,0.0868421052631579,0.21052631578947367,0.11842105263157897,0.1842105263157895,0.23586744639376223,0.11403508771929824,0.07894736842105263,0.2067669172932331,0.23684210526315788,0.41228070175438597,3.8,0.052631578947368425,0.052631578947368425,0.2894736842105263,0.07894736842105264,0.05263157894736842
416,Stephy Mavididi,left winger,0.030594405594405592,0.006993006993006992,0.02331002331002331,0.1,0.07692307692307693,0.02097902097902098,0.07692307692307693,0.1452991452991453,0.1724941724941725,0.1678321678321678,0.12454212454212454,0.11538461538461536,0.2121212121212121,14.3,0.07517482517482517,0.07517482517482517,0.2371794871794872,0.1048951048951049,0.02097902097902098
417,Bryan Mbeumo,right winger,0.21130030959752324,0.021671826625387,0.057791537667698664,0.17368421052631583,0.11455108359133129,0.06965944272445822,0.13622291021671828,0.15766540534342394,0.0908152734778122,0.1044891640866873,0.10703228659885007,0.12074303405572756,0.24251805985552116,32.3,0.0758513931888545,0.0696594427244582,0.19865841073271417,0.09907120743034058,0.018575851393188857
418,Jason Mbock,left winger,0.5833333333333334,0.0,0.22222222222222227,0.36666666666666675,0.0,0.0,0.16666666666666669,0.0,0.11111111111111112,0.0,0.0,0.0,0.22222222222222224,0.3,0.0,0.0,0.0,0.0,0.33333333333333337
419,Nathanael Mbuku,left winger,0.07954545454545454,0.0,0.0,0.0,0.18181818181818182,0.0,0.18181818181818182,0.1111111111111111,0.0606060606060606,0.06818181818181818,0.23809523809523808,0.2727272727272727,0.1818181818181818,1.1,0.022727272727272728,0.022727272727272728,0.16666666666666669,0.0,0.0
420,Nathanael Mbuku,left winger,0.03977272727272727,0.0,0.0,0.0,0.18181818181818182,0.0,0.18181818181818182,0.1111111111111111,0.0606060606060606,0.06818181818181818,0.23809523809523808,0.2727272727272727,0.1818181818181818,1.1,0.022727272727272728,0.022727272727272728,0.16666666666666669,0.0,0.0
421,Dwight McNeil,left winger,0.30530575539568344,0.01079136690647482,0.06474820143884893,0.19388489208633095,0.1618705035971223,0.048561151079136694,0.12410071942446044,0.08939515054622969,0.12949640287769784,0.14568345323741005,0.14319972593353889,0.08633093525179855,0.15347721822541965,27.8,0.03147482014388489,0.03147482014388489,0.15167865707434053,0.0539568345323741,0.0035971223021582736
422,Farid El Melali,right winger,0.07777777777777777,0.0,0.011111111111111112,0.04888888888888889,0.14444444444444446,0.022222222222222223,0.13333333333333333,0.09958847736625516,0.2,0.21666666666666665,0.24444444444444446,0.23333333333333334,0.2,9.0,0.030555555555555558,0.030555555555555558,0.11203703703703706,0.022222222222222223,0.022222222222222223
